id,char,dialog,movie
478,FARAMIR, Boromir would not have brought the Ring.   He would have stretched     out his hand to this thing and taking it he would have fallen.   ,The Return of the King 
479,DENETHOR,"And why should your songs be unfit for my halls?  Come, sing me a song.      ",The Return of the King 
480,PIPPIN,"Home is behind, The world ahead, ,  And     there are many paths to tread, Through shadow, to the edge of night    ,      Until the stars are all alight. ,  Mist and shadow     cloud and shade, All shall fade, All shall , 'fade.      ",The Return of the King 
481,ORCS,"March, march!   March, march march!   ",The Return of the King 
482,GANDALF VOICEOVER,...somewhere in the wilderness.           ,The Two Towers 
483,SAM,I wonder if we'll ever be put into songs or tales.    ,The Two Towers 
484,FRODO,What?           ,The Two Towers 
485,SAM,"I wonder if people will ever say,      ""Let's hear about Frodo and the Ring.""      And they'll say,      ""Yes! That's one of my favourite stories.""      ""Frodo was really courageous, wasn't he, Dad? ""      ""Yes, my boy. ,The most famousest of Hobbits.      And that's saying a lot."",     ",The Two Towers 
486,FRODO,"Well, you've left out one of the chief characters:      ""Samwise the Brave.""      I want to hear more about Sam.           ",The Two Towers 
487,FRODO,Frodo wouldn't have got far      without Sam.           ,The Two Towers 
488,SAM,"Now, Mr. Frodo, you shouldn't make fun. I was being serious.            ",The Two Towers 
489,FRODO,"So was l. ,     ",The Two Towers 
490,SAM,"""Samwise the Brave.""     ",The Two Towers 
491,FRODO,Smeagol?           ,The Two Towers 
492,SAM,"We're not going to wait for you. Come on.,     ",The Two Towers 
493,SMEAGOL,"Master. Master looks after us. ,Master wouldn't hurt us.           ",The Two Towers 
494,GOLLUM,Master broke his promise.           ,The Two Towers 
495,SMEAGOL,"Don't ask Smeagol. Poor, poor Smeagol.           ",The Two Towers 
496,GOLLUM,"Master betrayed us. Wicked. Tricksy. False. ,We ought to wring his filthy little neck.,Kill him! Kill him! Kill them both! ,And then we take the precious......and we be the master!           ",The Two Towers 
497,DENETHOR,You know nothing of this matter! ,The Return of the King 
498,FARAMIR,He would have kept it for his own.  And when he returned you would not     have known your son.  ,The Return of the King 
499,DENETHOR,      Boromir was loyal to me!   Not some wizard's pupil. ,The Return of the King 
500,FARAMIR,Father?  ,The Return of the King 
501,DENETHOR,"My son!  ,  Leave me!  ",The Return of the King 
502,GOLLUM,Careful master!  Careful.   Very far to fall.  Very dangerous are the     stairs.   ,The Return of the King 
503,GOLLUM,Come master.   ,The Return of the King 
504,GOLLUM,Come to Smeagol. ,The Return of the King 
505,SAM,"Mr Frodo!  , Get back     you!  Don't touch him.   ",The Return of the King 
506,GOLLUM,"Why does he hates poor Smeagol?  What has Smeagol ever done to him?      Master?  ,Master carries a heavy     burden Smeagol knows, heavy heavy burden.  Fat one cannot know.  ,  He wants it.  He needs     it.  Smeagol sees it in his eye.  , Very soon he will ask you for it.  You     will see.   The fat one will take it from you!       ",The Return of the King 
507,WITCH KING,Send forth all legions.  Do not stop the attack until the city is     taken.   ,The Return of the King 
508,SMEAGOL,"But the fat Hobbit, he knows.      Eyes always watching.           ",The Two Towers 
509,GOLLUM,      Then we stabs them out. Put out his eyeses and make him crawl.           ,The Two Towers 
510,SMEAGOL,Yes. Yes. Yes.           ,The Two Towers 
511,GOLLUM,Kill them both.           ,The Two Towers 
512,SMEAGOL,"Yes. , No! No! ,It's too risky. It's too risky.           ",The Two Towers 
513,SAM,"Where is he? Where has he gone? Hey, Gollum! Where are you?           ",The Two Towers 
514,FRODO,Smeagol?           ,The Two Towers 
515,GOLLUM,"We could let , do it.           ",The Two Towers 
516,SMEAGOL,Yes. She could do it.           ,The Two Towers 
517,GOLLUM,"Yes, precious, she could. And then we takes it once they're dead.           ",The Two Towers 
518,SMEAGOL,"Once they're dead. ,Ssssssssssssssh!           ",The Two Towers 
519,SMEAGOL,"Come on, Hobbits. Long ways to go yet. , Smeagol will show you the way.           ",The Two Towers 
520,EOMER,Stay out of the forest! Keep away from the trees!           ,The Two Towers 
521,LEGOLAS,Final count.....42.           ,The Two Towers 
522,GIMLI,"Forty-two? That's not bad for a pointy-eared Elvish princeling. I myself am sitting pretty on 43.,     ",The Two Towers 
523,LEGOLAS, Forty-three.           ,The Two Towers 
524,GIMLI,He was already dead.           ,The Two Towers 
525,WITCH KING,Slay them all! ,The Return of the King 
526,GOTHMOG,What of the wizard? ,The Return of the King 
527,WITCH KING, I will break him.  ,The Return of the King 
528,SOLDIER 1,Where are Theoden's riders? ,The Return of the King 
529,SOLDIER 2,Will Rohan's army come?  Mithrandir? ,The Return of the King 
530,GANDALF,Courage is the best defence that you have now.   ,The Return of the King 
531,GOLLUM,Follow me.           ,The Two Towers 
532,LEGOLAS,He was twitching.           ,The Two Towers 
533,GIMLI,"He was twitching......because he's got my axe ,embedded in his nervous system!           ",The Two Towers 
534,MERRY,"He doesn't look too happy, does he?           ",The Two Towers 
535,PIPPIN,"Not too happy at all, Merry.           ",The Two Towers 
536,MERRY,"Still, I suppose the view would be quite nice from up there.           ",The Two Towers 
537,PIPPIN,"Oh, yes. It's a quality establishment. I hear the staff are very good.           ",The Two Towers 
538,PIPPIN,What are you doing?           ,The Two Towers 
539,MERRY,"Nothing. The world's back to normal, that's all.           ",The Two Towers 
540,PIPPIN,"No, it isn't. I'm starving.           ",The Two Towers 
541,MERRY,"Good luck trying to find something decent around here. ,Probably only dead rats and      mouldy bread.,     ",The Two Towers 
542,MERRY,Saruman's storeroom!           ,The Two Towers 
543,PIPPIN,I don't believe it.           ,The Two Towers 
544,MERRY,It can't be.           ,The Two Towers 
545,PIPPIN,lt is!           ,The Two Towers 
546,MERRY,"Longbottom Leaf. ,The finest pipe-weed in South Farthing.           ",The Two Towers 
547,PIPPIN,"It's perfect. One barrel each.,Wait.      Do you think we should share it with Treebeard?           ",The Two Towers 
548,MERRY,"Share it? ,No. No. ,Dead plant and all that. Don't think he'd understand. ,Could be a distant relative.           ",The Two Towers 
549,PIPPIN,I get it. Don't be hasty.          ,The Two Towers 
550,MERRY," Exactly.      , Bar-hrum.     ",The Two Towers 
551,FARAMIR,This is the old sewer. Runs right under the river through to the edge of the city.      You'll find cover in the woods there.     ,The Two Towers 
552,SAM,"Captain Faramir......you have shown your quality, sir.           ",The Two Towers 
553,SAM,The very highest.           ,The Two Towers 
554,FARAMIR,The Shire must truly be a great realm      Master Gamgee......where gardeners are held in high honor.           ,The Two Towers 
555,FARAMIR,What road will you take once you reach the woods?           ,The Two Towers 
556,FRODO,"Gollum says there's a path......near Minas Morgul that climbs up into the mountains.,     ",The Two Towers 
557,FARAMIR,"Cirith Ungol?,     ",The Two Towers 
558,FARAMIR,ls that its name?           ,The Two Towers 
559,GOLLUM,"No. ,No! , Yes.           ",The Two Towers 
560,FARAMIR,Frodo......they say a dark terror dwells in the passes above Minas      Morgul. You cannot go that way.           ,The Two Towers 
561,GOLLUM,"lt is the only way. Master says we must go to Mordor, so we must try.           ",The Two Towers 
562,FRODO,I must.           ,The Two Towers 
563,FARAMIR," Go, Frodo. Go with the goodwill of all Men.,     ",The Two Towers 
564,FRODO,Thank you.           ,The Two Towers 
565,FARAMIR,May death find you quickly if you bring them to harm.           ,The Two Towers 
566,SAM,"Come on, keep up.           ",The Two Towers 
567,SAM,"Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you?      He was trying to save you, see?           ",The Two Towers 
568,GOLLUM,Save me?           ,The Two Towers 
569,SAM,So there's no hard feelings. Forgive and forget.           ,The Two Towers 
570,GOLLUM,"No, no, no hard feelings. Gollum, Gollum. ,Yes, master. Nice Hobbits.           ",The Two Towers 
571,SAM,"Very decent of you. Very decent, indeed      Gollum.    ",The Two Towers 
572,MADRIL,Faramir! Orcs have taken the eastern shore. Their numbers are too great.      By nightfall we will be overrun.           ,The Two Towers 
573,SAM,Mr. Frodo?           ,The Two Towers 
574,FRODO,"It's calling to him, Sam. His Eye is almost on me.            ",The Two Towers 
575,SAM,"Hold on, Mr. Frodo. You'll be all right.           ",The Two Towers 
576,FARAMIR,"Take them to my father. ,Tell him Faramir sends a mighty gift.      ,A weapon that will change our fortunes      in this war. ,     ",The Two Towers 
577,SAM,"Do you want to know      what happened to Boromir? ,You want to know why your brother died?  He tried to take the Ring from Frodo after swearing an oath to protect him! ,He tried to kill him! The Ring drove your brother mad!           ",The Two Towers 
578,SOLDIER,Watch out!           ,The Two Towers 
579,SAM,Mr. Frodo?           ,The Two Towers 
580,FRODO,They're here.           ,The Two Towers 
581,FRODO,They've come.           ,The Two Towers 
582,FARAMIR,Nazgul!             ,The Two Towers 
583,FARAMIR,"Stay here. Keep out of sight. ,Take cover!           ",The Two Towers 
584,THEODEN,"The fortress is taken. It is over.,     ",The Two Towers 
585,ARAGORN,You said this fortress would never fall while your men defend it.      They still defend it. They have died defending it.           ,The Two Towers 
586,WOMAN,They are breaking in!           ,The Two Towers 
587,WOMAN,They're past the door!           ,The Two Towers 
588,ARAGORN,Is there no other way for the women      and children to get out of the caves?     ,The Two Towers 
589,ARAGORN,Is there no other way?           ,The Two Towers 
590,GAMLING,There is one passage. It leads into the mountains. But they will not get far.      The Uruk-hai are too many.           ,The Two Towers 
591,ARAGORN, Tell the women and children      to make for the mountain pass. And barricade the entrance!           ,The Two Towers 
592,THEODEN,"Aragorn! Fall back to the Keep! Get your men out of there!,     ",The Two Towers 
593,ARAGORN,"Nan Barad! Nan Barad! , Haldir, nan Barad! (",The Two Towers 
594,GIMLI,What are you doing? What are you stopping for?       ,The Two Towers 
595,HALDIR,Nan Barad! (To the Keep!)       ,The Two Towers 
596,ARAGORN,Haldir!       ,The Two Towers 
597,THEODEN,"So much death. ,  What can Men do against such reckless hate?           ",The Two Towers 
598,ARAGORN,"Ride out with me. ,Ride out and meet them.,     ",The Two Towers 
599,THEODEN,For death and glory.           ,The Two Towers 
600,ARAGORN,For Rohan. For your people.           ,The Two Towers 
601,GIMLI,The sun is rising.           ,The Two Towers 
602,GANDALF VOICEOVER,Look to my coming at first light on the fifth day. At dawn......Iook to the east.           ,The Two Towers 
603,THEODEN,Yes.........Yes.........The horn of Helm Hammerhand......shall sound in the Deep......one last time.           ,The Two Towers 
604,GIMLI,"Yes!,     ",The Two Towers 
605,THEODEN,"Let this be the hour      when we draw swords together. ,     ",The Two Towers 
606,THEODEN,"Fell deeds, awake. Now for wrath......now for ruin and a red dawn.,     ",The Two Towers 
607,THEODEN,"Forth Eorlingas!,     ",The Two Towers 
608,ARAGORN,Gandalf.           ,The Two Towers 
609,GANDALF," Theoden King stands alone.,            ",The Two Towers 
610,SOLDIER,Brace the gate!       ,The Two Towers 
611,SOLDIER,Hold them!       ,The Two Towers 
612,THEODEN,To the gate. Draw your swords!       ,The Two Towers 
613,GAMLING,"Make way! ( ,We cannot hold much longer!       ",The Two Towers 
614,THEODEN,Hold them!       ,The Two Towers 
615,ARAGORN,How long do you need?       ,The Two Towers 
616,THEODEN,As long as you can give me.       ,The Two Towers 
617,ARAGORN,Gimli!       ,The Two Towers 
618,THEODEN,Timbers! Brace the gate!       ,The Two Towers 
619,GIMLI,Come on. We can take them.        ,The Two Towers 
620,ARAGORN,It's a long way.       ,The Two Towers 
621,GIMLI,Toss me.       ,The Two Towers 
622,EOMER,"Not alone. , Rohirrim!           ",The Two Towers 
623,THEODEN,"Eomer.,     ",The Two Towers 
624,EOMER,To the king!           ,The Two Towers 
625,PIPPIN,Yes!           ,The Two Towers 
626,TREEBEARD,A hit. A fine hit.           ,The Two Towers 
627,TREEBEARD,Break the dam!  Release the river!           ,The Two Towers 
628,MERRY,Pippin! Hold on!           ,The Two Towers 
629,TREEBEARD,"Hold on, little Hobbits.           ",The Two Towers 
630,SAM,What are you doing?            ,The Two Towers 
631,SAM,Where are you going?           ,The Two Towers 
632,SAM,It's me. It's your Sam. Don't you know your Sam?           ,The Two Towers 
633,ARAGORN,What?       ,The Two Towers 
634,GIMLI,I cannot jump the distance! You'll have to toss me!       ,The Two Towers 
635,GIMLI, Don't tell the Elf.       ,The Two Towers 
636,ARAGORN,Not a word. ,The Two Towers 
637,THEODEN,Shore up the door!       ,The Two Towers 
638,SOLDIER,Make way!       ,The Two Towers 
639,SOLDIER,Follow me to the barricade.       ,The Two Towers 
640,SOLDIER,Watch our backs!       ,The Two Towers 
641,SOLDIER,Throw another one over here!    ,The Two Towers 
642,THEODEN,Higher!       ,The Two Towers 
643,SOLDIER,Hold fast the gate!       ,The Two Towers 
644,THEODEN, Gimli! Aragorn! Get out of there!         ,The Two Towers 
645,LEGOLAS,Aragorn!       ,The Two Towers 
646,THEODEN,Pull everybody back. Pull them back.       ,The Two Towers 
647,GAMLING,Fall back! Fall back!       ,The Two Towers 
648,FRODO,"I can't do this, Sam.           ",The Two Towers 
649,SAM,"I know. It's all wrong.      ,By rights, we shouldn't even be here.      But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered.      ,Full of darkness and danger they were.      And sometimes you didn't want to know the end.....because how could the end be happy?       How could the world go back      to the way it was...... when so much bad had happened?           ",The Two Towers 
650,THEODEN,Victory! We have victory!           ,The Two Towers 
651,SAM VOICEOVER,"But in the end, it's only a passing thing...... this shadow. Even darkness must pass.      A new day will come. And when the sun shines, it will shine out the clearer.      Those were the stories      that stayed with you......that meant something. Even if you were too small      to understand why. But I think, Mr. Frodo, I do understand. I know now.           ",The Two Towers 
652,SAM,"Folk in those stories......had lots of chances of turning back, only they didn't.      They kept going......because they were holding on to something.    ",The Two Towers 
653,FRODO,"What are we holding on to, Sam?           ",The Two Towers 
654,SAM,"That there's some good in this world, Mr. Frodo. And it's worth fighting for.           ",The Two Towers 
655,FARAMIR,"I think at last we understand one another, Frodo Baggins. ,     ",The Two Towers 
656,MADRIL,"You know the laws of our country, the laws of your father. If you let them go      your life will be forfeit.           ",The Two Towers 
657,FARAMIR,"Then it is forfeit. Release them.,     ",The Two Towers 
658,THEODEN,They have broken through! The castle is breached. Retreat!       ,The Two Towers 
659,GAMLING,Fall back!       ,The Two Towers 
660,THEODEN,Retreat!        ,The Two Towers 
661,ARAGORN,Hurry! Inside. Get them inside!       ,The Two Towers 
662,GAMLING,Into the Keep!       ,The Two Towers 
663,TREEBEARD,I will leave you at the western borders of the forest. You can make your way north      to your homeland from there.       ,The Two Towers 
664,PIPPIN,Wait! Stop! Stop! Turn around. Turn around. Take us south.       ,The Two Towers 
665,TREEBEARD,South? But that will lead you past lsengard.       ,The Two Towers 
666,PIPPIN,"Yes. Exactly.,If we go south, we can slip      past Saruman unnoticed. The closer we are to danger, the farther we are from harm.      It's the last thing he'll expect.       ",The Two Towers 
667,TREEBEARD,"That doesn't make sense to me.      But then......you are very small. ,Perhaps you're right. South it is, then.      Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill.,     ",The Two Towers 
668,MERRY, Are you mad? We'll be caught.       ,The Two Towers 
669,PIPPIN,"No, we won't. Not this time.       ",The Two Towers 
670,SOLDIER,Look! Osgiliath burns!       ,The Two Towers 
671,SOLDIER,Mordor has come.       ,The Two Towers 
672,FRODO,"The Ring will not save Gondor.      , It has only the power to destroy.      Please......Iet me go.        ",The Two Towers 
673,FARAMIR,Hurry.       ,The Two Towers 
674,FRODO,Faramir! You must let me go!       ,The Two Towers 
675,TREEBEARD,"And those little family of field mice......that climb up sometimes, and they tickle me awfully.        ",The Two Towers 
676,TREEBEARD,They're always trying to get somewhere where they....       ,The Two Towers 
677,TREEBEARD,Many of these trees were my friends. Creatures I had known from nut and acorn.       ,The Two Towers 
678,PIPPIN,"I'm sorry, Treebeard.       ",The Two Towers 
679,TREEBEARD,They had voices of their own.       ,The Two Towers 
680,TREEBEARD,Saruman. A wizard should know better!      ,The Two Towers 
681,TREEBEARD,There is no curse in Elvish......Entish or the tongues of Men......for this treachery.       ,The Two Towers 
682,GIMLI,"You could have picked a better spot.,     ",The Two Towers 
683,GIMLI,"Well, lad, whatever luck you live by, let's hope it lasts the night.       ",The Two Towers 
684,LEGOLAS,"Your friends are with you, Aragorn.       ",The Two Towers 
685,GIMLI,Let's hope they last the night.       ,The Two Towers 
686,ARAGORN," A      Eruch'n, '-dano i faelas a hyn an uben tanatha le faelas! ,     ",The Two Towers 
687,GIMLI,What's happening out there?       ,The Two Towers 
688,LEGOLAS,Shall I describe it to you? Or would you like me to find you a box?        ,The Two Towers 
689,PIPPIN,Look! The trees! They're moving!       ,The Two Towers 
690,MERRY,Where are they going?       ,The Two Towers 
691,TREEBEARD,They have business with the Orcs. My business is with lsengard tonight......with rock and stone.       ,The Two Towers 
692,MERRY,Yes!       ,The Two Towers 
693,TREEBEARD,"Come, my friends. The Ents are going to war. It is likely......that we go to our doom.      Last march......of the Ents.       ",The Two Towers 
694,THEODEN,So it begins.       ,The Two Towers 
695,ARAGORN,Tangado a chadad! ,The Two Towers 
696,LEGOLAS, Faeg i-varv d'n na lanc a      nu ranc. ,The Two Towers 
697,ARAGORN,Leithio i philinn! ,The Two Towers 
698,GIMLI,"Did they hit anything?,     ",The Two Towers 
699,THEODEN,Give them a volley.       ,The Two Towers 
700,GAMLING,Fire!       ,The Two Towers 
701,OLD MAN,Fire!       ,The Two Towers 
702,ARAGORN,Ribed bant! ,The Two Towers 
703,GIMLI,"Send them to me! Come on!,     ",The Two Towers 
704,ARAGORN,"Pendraith! ,     ",The Two Towers 
705,GIMLI,Good!       ,The Two Towers 
706,ARAGORN,Swords! Swords! ,The Two Towers 
707,GIMLI,Legolas! Two already!       ,The Two Towers 
708,LEGOLAS,I'm on 17!       ,The Two Towers 
709,GIMLI, I'll have no pointy-ear outscoring me!      ,The Two Towers 
710,LEGOLAS,Nineteen!       ,The Two Towers 
711,PIPPIN,Merry.       ,The Two Towers 
712,TREEBEARD,"We have just agreed.,     ",The Two Towers 
713,MERRY,Yes?       ,The Two Towers 
714,TREEBEARD,"I have told your names to the Entmoot......and we have agreed......you are not      Orcs.,     ",The Two Towers 
715,PIPPIN,"Well, that's good news. ",The Two Towers 
716,MERRY,And what about Saruman? Have you come to a decision about him?       ,The Two Towers 
717,TREEBEARD,"Now, don't be hasty, Master Meriadoc.       ",The Two Towers 
718,MERRY,"Hasty? Our friends are out there. ,They need our help. They cannot fight this war on their own.       ",The Two Towers 
719,TREEBEARD,"War? Yes. It affects us all. Tree, root and twig.      But you must understand, young Hobbit......it takes a long time......to say anything in Old      Entish... ,...and we never say anything......unless it is worth taking......a long time to say.,     ",The Two Towers 
720,GIMLI,Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!       ,The Two Towers 
721,ARAGORN,Causeway!       ,The Two Towers 
722,THEODEN,Is this it? Is this is all you can conjure      Saruman?       ,The Two Towers 
723,ARAGORN,"Togo hon dad, Legolas! , ",The Two Towers 
724,ARAGORN,Dago hon! Dago hon! ,The Two Towers 
725,THEODEN,Brace the gate!       ,The Two Towers 
726,THEODEN,Hold them! Stand firm!       ,The Two Towers 
727,GIMLI,Aragorn!       ,The Two Towers 
728,ARAGORN,Gimli!       ,The Two Towers 
729,ARAGORN,Hado i philinn! ,The Two Towers 
730,ARAGORN,Herio! ,The Two Towers 
731,TREEBEARD,"The Ents cannot hold back this storm. We must weather such things as we have always done.,     ",The Two Towers 
732,MERRY,How can that be your decision?!        ,The Two Towers 
733,TREEBEARD,"This is not our war.,     ",The Two Towers 
734,MERRY," But you're part of this world!      Aren't you?!,     ",The Two Towers 
735,MERRY,You must help. Please. You must do something.       ,The Two Towers 
736,TREEBEARD,"You are young and brave, Master Merry. But your part in this tale is over.      Go back to your home.,     ",The Two Towers 
737,PIPPIN,"Maybe Treebeard's right. We don't belong here, Merry. It's too big for us.      What can we do in the end? We've got the Shire. Maybe we should go home.,     ",The Two Towers 
738,MERRY,"The fires of lsengard will spread......and the woods of Tuckborough and Buckland will burn.      And.... ,And all that was once green and good      in this world will be gone. There won't be a Shire, Pippin.       ",The Two Towers 
739,SOLDIER,Boromir! Boromir! ,The Two Towers 
740,BOROMIR,"This city was once the jewel of our kingdom. A place of light and beauty     and music. And so it shall be once more! ,Let the armies of Mordor know this:     Never again will the land of my people fall into enemy hands.    ,This city of Osgiliath has been     reclaimed ,for     Gondor! ",The Two Towers 
741,CROWD,For Gondor!  ,The Two Towers 
742,BOROMIR,For Gondor! ,The Two Towers 
743,CROWD,For Gondor! ,The Two Towers 
744,BOROMIR,For Gondor! ,The Two Towers 
745,FARAMIR,Good speech. Nice and short. ,The Two Towers 
746,BOROMIR,Leaves more time for drinking!     Break out the ale! These men are thirsty!     ,The Two Towers 
747,BOROMIR,"Remember today, little brother. Today, life is good. ",The Two Towers 
748,BOROMIR,What? ,The Two Towers 
749,FARAMIR,He's here. ,The Two Towers 
750,BOROMIR," One moment of peace, can he not give us that? ",The Two Towers 
751,DENETHOR,Where is he? Where is Gondor's finest? Where's my first-born? ,The Two Towers 
752,BOROMIR,    Father! ,The Two Towers 
753,DENETHOR,They say you vanquished the enemy almost single-handedly. ,The Two Towers 
754,BOROMIR,They exaggerate. The victory belongs to Faramir also.  ,The Two Towers 
755,DENETHOR,"But for Faramir, this city would still be standing. ",The Two Towers 
756,DENETHOR,Were you not entrusted to protect it? ,The Two Towers 
757,FARAMIR,"I would have done, but our numbers were too few. ",The Two Towers 
758,DENETHOR,"Oh, too few. You let the enemy walk in and take it on a whim. Always you     cast a poor reflection on me. ",The Two Towers 
759,FARAMIR,That is not my intent. ,The Two Towers 
760,BOROMIR,"You give him no credit, and yet he tries to do your will. ",The Two Towers 
761,BOROMIR,"He loves you, Father. ",The Two Towers 
762,DENETHOR,"Do not trouble me with Faramir......I know his uses, and they are few.     We have more urgent things to speak of. Elrond of Rivendell has called a     meeting. He will not say why, but I have guessed its purpose. It is rumored     that the weapon of the enemy has been found.   ",The Two Towers 
763,BOROMIR,The One Ring. lsildur's     Bane. ,The Two Towers 
764,DENETHOR,"lt has fallen into the hands of     the Elves. Everyone will try to claim it: Men, Dwarves, wizards. We cannot     let that happen. This thing must come to Gondor. ",The Two Towers 
765,BOROMIR, Gondor. ,The Two Towers 
766,DENETHOR," It's dangerous,     I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But     you, you are strong.    And our need is great. It is our blood which is being spilled, our people     who are dying. Sauron is biding his time. He's massing fresh armies. He will     return. And when he does, we will be powerless to stop him. You must go.    ,Bring me back this     mighty gift    .",The Two Towers 
767,BOROMIR,"No. My place is here with     my people. ,Not in Rivendell. ",The Two Towers 
768,DENETHOR,Would you deny your own father? ,The Two Towers 
769,FARAMIR,lf there is need to go to Rivendell......send me in his stead. ,The Two Towers 
770,DENETHOR,"You? Oh, I see. A chance for Faramir, captain of Gondor, to show his     quality. I think not. ,I trust this mission only to your brother. The one who will not     fail me. ",The Two Towers 
771,BOROMIR,"Remember today, little brother.  ",The Two Towers 
772,SOLDIER,"Captain Faramir! ,We     found the third one. ",The Two Towers 
773,FARAMIR,You must come with me. Now.  ,The Two Towers 
774,FARAMIR, Down there. ,The Two Towers 
775,FARAMIR,"To enter the Forbidden Pool bears the penalty of death.    ,They wait for my command. Shall I     shoot? ",The Two Towers 
776,GOLLUM,The rock and pool    Is nice and cool    So juicy sweet    Our only wish    To catch a fish    So juicy sweet ,The Two Towers 
777,FRODO,Wait. This creature is bound to me. And I to him. He is our guide.     Please......Iet me go down to him. ,The Two Towers 
778,FRODO,"Smeagol. , Master is here.     Come, Smeagol. Trust master. Come. ",The Two Towers 
779,GOLLUM, We must go now? ,The Two Towers 
780,FRODO,"Smeagol, you must trust master. Follow me. Come on. Come. Come, Smeagol.     Nice Smeagol. That's it. Come on. ",The Two Towers 
781,FRODO,"Don't hurt him! ,Smeagol, don't struggle. Smeagol, listen     to me. ",The Two Towers 
782,ARWEN,May the grace of the Valarprotect you.  ,The Two Towers 
783,ARAGORN,Brego. ,The Two Towers 
784,ELROND,"Arwen. ,Tollen i l'. I chair gwannar     na Valannor. Si bado, no c'rar. ",The Two Towers 
785,ARWEN,I have made my choice. ,The Two Towers 
786,ELROND,He is not coming back.Why do you linger herewhen there is no hope? ,The Two Towers 
787,GOLLUM,Master! ,The Two Towers 
788,FARAMIR,"That's enough. ,Where     are you leading them? ,Answer me. ",The Two Towers 
789,GOLLUM,"    Smeagol. Why does it cry, Smeagol? ",The Two Towers 
790,SMEAGOL, Cruel Men hurts us. Master     tricksed us. ,The Two Towers 
791,GOLLUM,Of course he did. I told you he was tricksy. I told you he was false. ,The Two Towers 
792,SMEAGOL,Master is our friend. Our friend. ,The Two Towers 
793,GOLLUM,Master betrayed us.  ,The Two Towers 
794,SMEAGOL,No. Not its business. Leave us alone! ,The Two Towers 
795,GOLLUM,Filthy little     Hobbitses! They stole it from us! ,The Two Towers 
796,ARWEN,There is still hope. ,The Two Towers 
797,ELROND,If Aragorn survives this waryou will still be parted.If Sauron is defeatedand Aragorn made king......and all that you hope forcomes true......you will still have to tastethe bitterness of mortality. ,The Two Towers 
798,ELROND VOICEOVER,Whether by the swordor the slow decay of time......Aragorn will die.And there will be no comfortfor you......no comfort to ease the painof his passing.He will come to death......an image of the splendorof the kings of Men......in glory undimmed beforethe breaking of the world.,The Two Towers 
799,ELROND VOICEOVER,"But you, my daughter......you will linger on in darknessand in doubt......as nightfall in winterthat comes without a star.Here you will dwell......bound to your griefunder the fading trees...... until all the world is changed......and the long years of your lifeare utterly spent. ",The Two Towers 
800,ELROND,"Arwen.,There is nothing for you here......only death. ",The Two Towers 
801,ELROND,"A im, '-'erin veleth l'n? ",The Two Towers 
802,ARWEN,"Gerich veleth n'n, ada. ",The Two Towers 
803,GALADRIEL,"I amar prestar aen... han mathon ne nen, han mathon ne chae a han noston     ned 'wilith.                     ",The Two Towers 
804,FARAMIR,What news? ,The Two Towers 
805,MADRIL,"Our scouts report Saruman has attacked Rohan. , Theoden's people have fled     to Helm's Deep. But we must look to our own borders. Faramir, Orcs are on     the move. Sauron is marshaling an army. Easterlings and Southrons are at the     Black Gate. ",The Two Towers 
806,FARAMIR,How many? ,The Two Towers 
807,MADRIL,Some thousands. More come every day. ,The Two Towers 
808,FARAMIR,Who's covering the river to the north? ,The Two Towers 
809,MADRIL,"We pulled 500 men at Osgiliath. If their city is attacked, we won't hold     it. ",The Two Towers 
810,SMEAGOL,No. No. ,The Two Towers 
811,FARAMIR,What did they steal? ,The Two Towers 
812,GOLLUM,     My precious!  ,The Two Towers 
813,SAM,"We have to get out of here.     You go. Go, now. You can do it. Use the Ring, Mr. Frodo. Just this once. Put     it on. Disappear. ",The Two Towers 
814,FRODO," I can't. You were right, Sam. You tried to tell me but....,I'm sorry. The Ring's taking me, Sam. If I put it     on......he'll find me. He'll see. ",The Two Towers 
815,SAM,Mr.     Frodo.... ,The Two Towers 
816,FARAMIR,"So this is the answer to all the riddles. ,Here in the     Wild I have you......two Halflings......and a host of men at my call.,The Ring of Power within my     grasp.,A chance for Faramir, captain of Gondor......to     show his quality. ",The Two Towers 
817,FRODO, No!  ,The Two Towers 
818,SAM,"Stop it! Leave him alone. ,Don't you understand? He's got to destroy     it! That's where we're going, into Mordor. To the Mountain of Fire!  ",The Two Towers 
819,SOLDIER,Osgiliath is under attack. They call for reinforcements. ,The Two Towers 
820,SAM, Please. It's such a burden.     Will you not help him? ,The Two Towers 
821,SOLDIER,Captain? ,The Two Towers 
822,FARAMIR," Prepare to leave.    ,The Ring will go to Gondor.    ",The Two Towers 
823,ARAGORN," Mae carnen, Brego,     mellon n'n. ",The Two Towers 
824,FARAMIR,    Saruman attacks from lsengard. Sauron from Mordor. The fight will come to     Men on both fronts. Gondor is weak. Sauron will strike us soon. And he will     strike hard. He knows now we do not have the strength to repel him. ,The Two Towers 
825,FARAMIR,My men tell me that you are Orc spies. ,The Two Towers 
826,SAM,Spies? Now wait just a minute. ,The Two Towers 
827,FARAMIR,"Well, if you're not spies, then who are you? ",The Two Towers 
828,FARAMIR,Speak. ,The Two Towers 
