Film,Chapter,Character,Race,Words
The Two Towers,50: Old Entish,Merry,Hobbit,30
The Two Towers,50: Old Entish,Pippin,Hobbit,5
The Two Towers,50: Old Entish,Treebeard,Ent,64
The Two Towers,51: The Breach Of The Deeping Wall,Aragorn,Men,12
The Two Towers,51: The Breach Of The Deeping Wall,Gimli,Dwarf,6
The Two Towers,51: The Breach Of The Deeping Wall,Theoden,Men,17
The Two Towers,52: The Entmoot Decides,Merry,Hobbit,58
The Two Towers,52: The Entmoot Decides,Pippin,Hobbit,29
The Two Towers,52: The Entmoot Decides,Treebeard,Ent,42
The Two Towers,53: The Retreat To The Hornburg,Aragorn,Men,31
The Two Towers,53: The Retreat To The Hornburg,Gamling,Men,6
The Two Towers,53: The Retreat To The Hornburg,Gimli,Dwarf,34
The Two Towers,53: The Retreat To The Hornburg,Legolas,Elf,1
The Two Towers,53: The Retreat To The Hornburg,Rohan Warrior,Men,22
The Two Towers,53: The Retreat To The Hornburg,Theoden,Men,58
The Two Towers,54: Master Peregrin's Plan,Merry,Hobbit,6
The Two Towers,54: Master Peregrin's Plan,Pippin,Hobbit,46
The Two Towers,54: Master Peregrin's Plan,Treebeard,Ent,64
The Two Towers,55: Osgiliath,Faramir,Men,1
The Two Towers,55: Osgiliath,Frodo,Hobbit,23
The Two Towers,55: Osgiliath,Gondor Man,Men,6
The Two Towers,56: The Last March Of The Ents,Merry,Hobbit,5
The Two Towers,56: The Last March Of The Ents,Pippin,Hobbit,8
The Two Towers,56: The Last March Of The Ents,Treebeard,Ent,105
The Two Towers,57: The Nazgûl Attack,Faramir,Men,31
The Two Towers,57: The Nazgûl Attack,Frodo,Hobbit,15
The Two Towers,57: The Nazgûl Attack,Gondor Man,Men,20
The Two Towers,57: The Nazgûl Attack,Sam,Hobbit,53
The Two Towers,58: Forth Eorlingas,Aragorn,Men,73
The Two Towers,58: Forth Eorlingas,Eomer,Men,6
The Two Towers,58: Forth Eorlingas,Gamling,Men,20
The Two Towers,58: Forth Eorlingas,Gandalf,Ainur,21
The Two Towers,58: Forth Eorlingas,Gimli,Dwarf,5
The Two Towers,58: Forth Eorlingas,Rohan Maiden,Men,7
The Two Towers,58: Forth Eorlingas,Theoden,Men,63
The Two Towers,59: The Flooding Of Isengard,Merry,Hobbit,3
The Two Towers,59: The Flooding Of Isengard,Pippin,Hobbit,1
The Two Towers,59: The Flooding Of Isengard,Treebeard,Ent,15
The Two Towers,60: The Tales That Really Mattered…,Faramir,Men,16
The Two Towers,60: The Tales That Really Mattered…,Frodo,Hobbit,12
The Two Towers,60: The Tales That Really Mattered…,Gondor Man,Men,22
The Two Towers,60: The Tales That Really Mattered…,Sam,Hobbit,186
The Two Towers,60: The Tales That Really Mattered…,Theoden,Men,4
The Two Towers,61: Fangorn Comes To Helm's Deep,Eomer,Men,10
The Two Towers,62: The Final Tally,Gimli,Dwarf,35
The Two Towers,62: The Final Tally,Legolas,Elf,7
The Two Towers,63: Flotsam And Jetsam,Merry,Hobbit,77
The Two Towers,63: Flotsam And Jetsam,Pippin,Hobbit,56
The Two Towers,64: Farewell To Faramir,Faramir,Men,95
The Two Towers,64: Farewell To Faramir,Frodo,Hobbit,18
The Two Towers,64: Farewell To Faramir,Gollum,Gollum,32
The Two Towers,64: Farewell To Faramir,Sam,Hobbit,54
The Two Towers,65: The Battle For Middle Earth Is About To Begin,Frodo,Hobbit,30
The Two Towers,65: The Battle For Middle Earth Is About To Begin,Gandalf,Ainur,36
The Two Towers,65: The Battle For Middle Earth Is About To Begin,Sam,Hobbit,69
The Two Towers,66: Gollum's Plan,Frodo,Hobbit,11
The Two Towers,66: Gollum's Plan,Gollum,Gollum,75
The Two Towers,66: Gollum's Plan,Sam,Hobbit,12
The Two Towers,66: Gollum's Plan,Smeagol,Gollum,53
The Return Of The King,01: The Finding Of The Ring,Deagol,Hobbit,13
The Return Of The King,01: The Finding Of The Ring,Gollum,Gollum,3
The Return Of The King,01: The Finding Of The Ring,Smeagol,Gollum,98
The Return Of The King,02: Journey To The Cross-roads,Frodo,Hobbit,18
The Return Of The King,02: Journey To The Cross-roads,Gollum,Gollum,41
The Return Of The King,02: Journey To The Cross-roads,Sam,Hobbit,77
The Return Of The King,03: The Road To Isengard,Gandalf,Ainur,1
The Return Of The King,03: The Road To Isengard,Gimli,Dwarf,22
The Return Of The King,03: The Road To Isengard,Merry,Hobbit,36
The Return Of The King,03: The Road To Isengard,Pippin,Hobbit,51
The Return Of The King,04: The Voice Of Saruman,Aragorn,Men,3
The Return Of The King,04: The Voice Of Saruman,Gandalf,Ainur,111
The Return Of The King,04: The Voice Of Saruman,Gimli,Dwarf,23
The Return Of The King,04: The Voice Of Saruman,Grima Wormtongue,Men,2
The Return Of The King,04: The Voice Of Saruman,Saruman,Ainur,301
The Return Of The King,04: The Voice Of Saruman,Theoden,Men,98
The Return Of The King,04: The Voice Of Saruman,Treebeard,Ent,50
The Return Of The King,05: Return To Edoras,Aragorn,Men,20
The Return Of The King,05: Return To Edoras,Eomer,Men,4
The Return Of The King,05: Return To Edoras,Eowyn,Men,8
The Return Of The King,05: Return To Edoras,Gandalf,Ainur,15
The Return Of The King,05: Return To Edoras,Gimli,Dwarf,40
The Return Of The King,05: Return To Edoras,Legolas,Elf,21
The Return Of The King,05: Return To Edoras,Merry,Hobbit,78
The Return Of The King,05: Return To Edoras,Pippin,Hobbit,73
The Return Of The King,05: Return To Edoras,Rohan Warrior,Men,1
The Return Of The King,05: Return To Edoras,Theoden,Men,52
The Return Of The King,06: Gollum's Villany,Frodo,Hobbit,46
The Return Of The King,06: Gollum's Villany,Gollum,Gollum,149
The Return Of The King,06: Gollum's Villany,Sam,Hobbit,65
The Return Of The King,06: Gollum's Villany,Smeagol,Gollum,83
The Return Of The King,07: Eowyn's Dream,Aragorn,Men,13
The Return Of The King,07: Eowyn's Dream,Eowyn,Men,50
The Return Of The King,08: The Palantir,Aragorn,Men,20
The Return Of The King,08: The Palantir,Gandalf,Ainur,255
The Return Of The King,08: The Palantir,Legolas,Elf,22
The Return Of The King,08: The Palantir,Merry,Hobbit,135
The Return Of The King,08: The Palantir,Pippin,Hobbit,104
The Return Of The King,08: The Palantir,Theoden,Men,22
The Return Of The King,09: Arwen's Vision,Elrond,Elf,36
The Return Of The King,09: Arwen's Vision,Figwit,Elf,7
The Return Of The King,10: The Reforging Of Narsil,Arwen,Elf,100
The Return Of The King,10: The Reforging Of Narsil,Elrond,Elf,30
The Return Of The King,11: Minas Tirith,Denethor,Men,151
The Return Of The King,11: Minas Tirith,Gandalf,Ainur,202
The Return Of The King,11: Minas Tirith,Pippin,Hobbit,36
The Return Of The King,12: The Decline Of Gondor,Gandalf,Ainur,268
The Return Of The King,12: The Decline Of Gondor,Pippin,Hobbit,22
The Return Of The King,13: Cross-roads Of The Fallen King,Frodo,Hobbit,30
The Return Of The King,13: Cross-roads Of The Fallen King,Gollum,Gollum,13
The Return Of The King,13: Cross-roads Of The Fallen King,Sam,Hobbit,56
The Return Of The King,14: The Deep Breath Before The Plunge,Gandalf,Ainur,163
The Return Of The King,14: The Deep Breath Before The Plunge,Gondor Man,Men,2
The Return Of The King,14: The Deep Breath Before The Plunge,Pippin,Hobbit,75
The Return Of The King,15: Minas Morgul,Frodo,Hobbit,8
The Return Of The King,15: Minas Morgul,Gandalf,Ainur,20
The Return Of The King,15: Minas Morgul,Gollum,Gollum,50
The Return Of The King,15: Minas Morgul,Sam,Hobbit,5
The Return Of The King,16: Sam's Warning,Frodo,Hobbit,4
The Return Of The King,16: Sam's Warning,Gollum,Gollum,13
The Return Of The King,16: Sam's Warning,Sam,Hobbit,61
The Return Of The King,17: Pippin's Task,Gandalf,Ainur,30
The Return Of The King,18: Osgiliath Invaded,Damrod,Men,3
The Return Of The King,18: Osgiliath Invaded,Faramir,Men,18
The Return Of The King,18: Osgiliath Invaded,Gondor Man,Men,7
The Return Of The King,18: Osgiliath Invaded,Gothmog,Orc,6
The Return Of The King,18: Osgiliath Invaded,Madril,Men,28
The Return Of The King,19: The Lighting Of The Beacons,Gandalf,Ainur,5
The Return Of The King,19: The Lighting Of The Beacons,Gondor Man,Men,10
The Return Of The King,20: Theoren's Decision,Aragorn,Men,18
The Return Of The King,20: Theoren's Decision,Eomer,Men,21
The Return Of The King,20: Theoren's Decision,Eowyn,Men,36
The Return Of The King,20: Theoren's Decision,Gamling,Men,4
The Return Of The King,20: Theoren's Decision,Gimli,Dwarf,15
The Return Of The King,20: Theoren's Decision,Legolas,Elf,19
The Return Of The King,20: Theoren's Decision,Merry,Hobbit,16
The Return Of The King,20: Theoren's Decision,Rohan Warrior,Men,3
The Return Of The King,20: Theoren's Decision,Theoden,Men,73
The Return Of The King,21: The Fall of Osgiliath,Damrod,Men,1
The Return Of The King,21: The Fall of Osgiliath,Faramir,Men,66
The Return Of The King,21: The Fall of Osgiliath,Gandalf,Ainur,34
The Return Of The King,21: The Fall of Osgiliath,Gondor Man,Men,17
The Return Of The King,21: The Fall of Osgiliath,Gothmog,Orc,13
The Return Of The King,21: The Fall of Osgiliath,Irolas,Men,13
The Return Of The King,21: The Fall of Osgiliath,Madril,Men,8
The Return Of The King,21: The Fall of Osgiliath,Pippin,Hobbit,15
The Return Of The King,22: The Wizard's Pupil,Denethor,Men,114
The Return Of The King,22: The Wizard's Pupil,Faramir,Men,72
The Return Of The King,23: The Stairs Of Cirith Ungol,Gollum,Gollum,76
The Return Of The King,23: The Stairs Of Cirith Ungol,Sam,Hobbit,8
The Return Of The King,24: Courage Is The Best Defense,Gandalf,Ainur,9
The Return Of The King,24: Courage Is The Best Defense,Gondor Man,Men,9
The Return Of The King,24: Courage Is The Best Defense,Gothmog,Orc,4
The Return Of The King,24: Courage Is The Best Defense,Witch King,Nazgul,21
The Return Of The King,25: Peregrin Of The Tower Guard,Faramir,Men,80
The Return Of The King,25: Peregrin Of The Tower Guard,Pippin,Hobbit,66
The Return Of The King,26: Allegiance To Denethor,Denethor,Men,89
The Return Of The King,26: Allegiance To Denethor,Faramir,Men,53
The Return Of The King,26: Allegiance To Denethor,Pippin,Hobbit,32
The Return Of The King,27: The Parting Of Sam & Frodo,Frodo,Hobbit,43
The Return Of The King,27: The Parting Of Sam & Frodo,Gollum,Gollum,79
The Return Of The King,27: The Parting Of Sam & Frodo,Sam,Hobbit,184
The Return Of The King,28: The Sacrifice Of Faramir,Denethor,Men,20
The Return Of The King,28: The Sacrifice Of Faramir,Faramir,Men,31
The Return Of The King,28: The Sacrifice Of Faramir,Gandalf,Ainur,29
The Return Of The King,28: The Sacrifice Of Faramir,Orc,Orc,5
The Return Of The King,28: The Sacrifice Of Faramir,Pippin,Hobbit,59
The Return Of The King,29: Marshalling At Dunharrow,Aragorn,Men,26
The Return Of The King,29: Marshalling At Dunharrow,Eomer,Men,89
The Return Of The King,29: Marshalling At Dunharrow,Eowyn,Men,56
The Return Of The King,29: Marshalling At Dunharrow,Gimli,Dwarf,12
The Return Of The King,29: Marshalling At Dunharrow,Grimhold,Men,9
The Return Of The King,29: Marshalling At Dunharrow,Legolas,Elf,21
The Return Of The King,29: Marshalling At Dunharrow,Merry,Hobbit,12
The Return Of The King,29: Marshalling At Dunharrow,Rohan Warrior,Men,30
The Return Of The King,29: Marshalling At Dunharrow,Theoden,Men,24
The Return Of The King,30: Anduril - Flame Of The West,Aragorn,Men,54
The Return Of The King,30: Anduril - Flame Of The West,Arwen,Elf,15
The Return Of The King,30: Anduril - Flame Of The West,Elrond,Elf,168
The Return Of The King,30: Anduril - Flame Of The West,Rohan Warrior,Men,7
The Return Of The King,30: Anduril - Flame Of The West,Theoden,Men,4
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Aragorn,Men,42
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Eowyn,Men,32
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Gamling,Men,18
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Gimli,Dwarf,20
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Legolas,Elf,9
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan Warrior,Men,20
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Theoden,Men,16
The Return Of The King,32: No More Despair,Eowyn,Men,10
The Return Of The King,32: No More Despair,Theoden,Men,60
The Return Of The King,33: Dwimoberg ~ The Haunted Mountain,Aragorn,Men,6
The Return Of The King,33: Dwimoberg ~ The Haunted Mountain,Gimli,Dwarf,45
The Return Of The King,33: Dwimoberg ~ The Haunted Mountain,Legolas,Elf,123
The Return Of The King,34: The Muster Of Rohan,Eomer,Men,8
The Return Of The King,34: The Muster Of Rohan,Eowyn,Men,3
The Return Of The King,34: The Muster Of Rohan,Merry,Hobbit,21
The Return Of The King,34: The Muster Of Rohan,Theoden,Men,63
The Return Of The King,35: The Paths Of The Dead,Aragorn,Men,75
The Return Of The King,35: The Paths Of The Dead,Gimli,Dwarf,43
The Return Of The King,35: The Paths Of The Dead,King Of The Dead,Dead,53
The Return Of The King,35: The Paths Of The Dead,Legolas,Elf,32
The Return Of The King,36: The Siege Of Gondor,Denethor,Men,40
The Return Of The King,36: The Siege Of Gondor,Gandalf,Ainur,81
The Return Of The King,36: The Siege Of Gondor,Gondor Man,Men,19
The Return Of The King,36: The Siege Of Gondor,Gothmog,Orc,46
The Return Of The King,36: The Siege Of Gondor,Irolas,Men,7
The Return Of The King,36: The Siege Of Gondor,Orc,Orc,25
The Return Of The King,36: The Siege Of Gondor,Pippin,Hobbit,15
The Return Of The King,37: The Corsairs Of Umbar,Aragorn,Men,21
The Return Of The King,37: The Corsairs Of Umbar,Boson,Men,7
The Return Of The King,37: The Corsairs Of Umbar,Gimli,Dwarf,14
The Return Of The King,37: The Corsairs Of Umbar,Mercenary,Men,6
The Return Of The King,38: Shelob's Lair,Frodo,Hobbit,60
The Return Of The King,38: Shelob's Lair,Galadriel,Elf,51
The Return Of The King,38: Shelob's Lair,Gollum,Gollum,64
The Return Of The King,38: Shelob's Lair,Sam,Hobbit,1
The Return Of The King,38: Shelob's Lair,Smeagol,Gollum,26
The Return Of The King,39: Merry's Simple Courage,Eomer,Men,22
The Return Of The King,39: Merry's Simple Courage,Eowyn,Men,10
The Return Of The King,39: Merry's Simple Courage,Merry,Hobbit,83
The Return Of The King,39: Merry's Simple Courage,Theoden,Men,13
The Return Of The King,40: Grond ~ The Hammer Of The Underworld,Gandalf,Ainur,5
The Return Of The King,41: The Tomb Of The Stewards,Denethor,Men,68
The Return Of The King,42: Breaking The Gate Of Gondor,Gandalf,Ainur,21
The Return Of The King,43: The Choices Of Master Samwise Gamgee,Orc,Orc,15
The Return Of The King,43: The Choices Of Master Samwise Gamgee,Sam,Hobbit,48
The Return Of The King,43: The Choices Of Master Samwise Gamgee,Shagrat,Orc,55
The Return Of The King,44: Denethor's Madness,Denethor,Men,36
The Return Of The King,44: Denethor's Madness,Gondor Man,Men,10
The Return Of The King,44: Denethor's Madness,Pippin,Hobbit,17
The Return Of The King,45: The Witch King's Hour,Gandalf,Ainur,48
The Return Of The King,45: The Witch King's Hour,Gondor Man,Men,7
The Return Of The King,45: The Witch King's Hour,Gothmog,Orc,9
The Return Of The King,45: The Witch King's Hour,Pippin,Hobbit,13
The Return Of The King,45: The Witch King's Hour,Witch King,Nazgul,24
The Return Of The King,46: The Ride Of The Rohirrim,Eomer,Men,2
The Return Of The King,46: The Ride Of The Rohirrim,Eowyn,Men,17
The Return Of The King,46: The Ride Of The Rohirrim,Gothmog,Orc,15
The Return Of The King,46: The Ride Of The Rohirrim,Merry,Hobbit,2
The Return Of The King,46: The Ride Of The Rohirrim,Theoden,Men,71
The Return Of The King,47: The Pyre Of Denethor,Denethor,Men,42
The Return Of The King,47: The Pyre Of Denethor,Gandalf,Ainur,9
The Return Of The King,47: The Pyre Of Denethor,Pippin,Hobbit,2
The Return Of The King,48: The Battle Of The Pelennor Fields,Eomer,Men,9
The Return Of The King,48: The Battle Of The Pelennor Fields,Eowyn,Men,8
The Return Of The King,48: The Battle Of The Pelennor Fields,Rohan Warrior,Men,3
The Return Of The King,48: The Battle Of The Pelennor Fields,Theoden,Men,26
The Return Of The King,49: A Far Green Country,Gandalf,Ainur,54
The Return Of The King,49: A Far Green Country,Pippin,Hobbit,17
The Return Of The King,50: The Nazgul And His Prey,Eowyn,Men,8
The Return Of The King,50: The Nazgul And His Prey,Theoden,Men,5
The Return Of The King,50: The Nazgul And His Prey,Witch King,Nazgul,13
The Return Of The King,51: The Black Ships,Gimli,Dwarf,12
The Return Of The King,51: The Black Ships,Orc,Orc,19
The Return Of The King,52: Shieldmaiden Of Rohan,Eowyn,Men,4
The Return Of The King,52: Shieldmaiden Of Rohan,Witch King,Nazgul,9
The Return Of The King,53: Victory At Minar Tirith,Aragorn,Men,1
The Return Of The King,53: Victory At Minar Tirith,Eowyn,Men,1
The Return Of The King,53: Victory At Minar Tirith,Gimli,Dwarf,6
The Return Of The King,53: Victory At Minar Tirith,Legolas,Elf,6
The Return Of The King,53: Victory At Minar Tirith,Orc,Orc,5
The Return Of The King,54: The Passing Of Theoden,Eowyn,Men,8
The Return Of The King,54: The Passing Of Theoden,Theoden,Men,38
The Return Of The King,55: Oaths Fulfilled,Aragorn,Men,9
The Return Of The King,55: Oaths Fulfilled,Gimli,Dwarf,15
The Return Of The King,55: Oaths Fulfilled,King Of The Dead,Dead,7
The Return Of The King,56: The Houses Of Healing,Eomer,Men,3
The Return Of The King,56: The Houses Of Healing,Pippin,Hobbit,1
The Return Of The King,57: Pippin Looks After Merry,Merry,Hobbit,11
The Return Of The King,57: Pippin Looks After Merry,Pippin,Hobbit,16
The Return Of The King,58: The Tower Of Cirith Ungol,Frodo,Hobbit,64
The Return Of The King,58: The Tower Of Cirith Ungol,Grobag,Orc,23
The Return Of The King,58: The Tower Of Cirith Ungol,Sam,Hobbit,96
The Return Of The King,58: The Tower Of Cirith Ungol,Shagrat,Orc,35
The Return Of The King,59: The Last Debate,Aragorn,Men,82
The Return Of The King,59: The Last Debate,Eomer,Men,8
The Return Of The King,59: The Last Debate,Gandalf,Ainur,59
The Return Of The King,59: The Last Debate,Gimli,Dwarf,24
The Return Of The King,59: The Last Debate,Legolas,Elf,2
The Return Of The King,60: Aragorn Masters The Palantir,Aragorn,Men,17
The Return Of The King,61: The Captain And The White Lady,Eowyn,Men,17
The Return Of The King,61: The Captain And The White Lady,Faramir,Men,17
The Return Of The King,62: In The Company Of Orcs,Frodo,Hobbit,16
The Return Of The King,62: In The Company Of Orcs,Orc,Orc,104
The Return Of The King,62: In The Company Of Orcs,Sam,Hobbit,46
The Return Of The King,63: The Land Of Shadow,Frodo,Hobbit,30
The Return Of The King,63: The Land Of Shadow,Sam,Hobbit,56
The Return Of The King,64: The Mouth Of Sauron,Aragorn,Men,23
The Return Of The King,64: The Mouth Of Sauron,Gandalf,Ainur,32
The Return Of The King,64: The Mouth Of Sauron,Gimli,Dwarf,5
The Return Of The King,64: The Mouth Of Sauron,Merry,Hobbit,1
The Return Of The King,64: The Mouth Of Sauron,Mouth Of Sauron,Orc,87
The Return Of The King,64: The Mouth Of Sauron,Pippin,Hobbit,5
The Return Of The King,65: The Black Gate Opens,Aragorn,Men,103
The Return Of The King,65: The Black Gate Opens,Gimli,Dwarf,16
The Return Of The King,65: The Black Gate Opens,Legolas,Elf,8
The Return Of The King,65: The Black Gate Opens,Sam,Hobbit,16
The Return Of The King,66: I Can't Carry It For You… But I Can Carry You,Frodo,Hobbit,44
The Return Of The King,66: I Can't Carry It For You… But I Can Carry You,Sam,Hobbit,85
The Return Of The King,67: The Last Move,Aragorn,Men,2
The Return Of The King,67: The Last Move,Voice Of Sauron,Ainur,2
The Return Of The King,68: Mount Doom,Frodo,Hobbit,9
The Return Of The King,68: Mount Doom,Gollum,Gollum,17
The Return Of The King,68: Mount Doom,Sam,Hobbit,10
The Return Of The King,69: The Eagles Are Coming,Pippin,Hobbit,6
The Return Of The King,70: The Crack Of Doom,Frodo,Hobbit,7
The Return Of The King,70: The Crack Of Doom,Gollum,Gollum,5
The Return Of The King,70: The Crack Of Doom,Sam,Hobbit,38
The Return Of The King,71: Sauron Defeated,Merry,Hobbit,2
The Return Of The King,71: Sauron Defeated,Pippin,Hobbit,1
The Return Of The King,72: The End Of All Things,Frodo,Hobbit,37
The Return Of The King,72: The End Of All Things,Sam,Hobbit,31
The Return Of The King,73: The Fellowship Reunited,Frodo,Hobbit,4
The Return Of The King,73: The Fellowship Reunited,Gimli,Dwarf,1
The Return Of The King,73: The Fellowship Reunited,Merry,Hobbit,1
The Return Of The King,74: The Return Of The King,Aragorn,Men,45
The Return Of The King,74: The Return Of The King,Gandalf,Ainur,11
The Return Of The King,75: Homeward Bound,Frodo,Hobbit,98
The Return Of The King,75: Homeward Bound,Hobbits,Hobbit,4
The Return Of The King,75: Homeward Bound,Pippin,Hobbit,2
The Return Of The King,75: Homeward Bound,Rosie,Hobbit,2
The Return Of The King,75: Homeward Bound,Sam,Hobbit,27
The Return Of The King,76: The Grey Havens,Bilbo,Hobbit,56
The Return Of The King,76: The Grey Havens,Elrond,Elf,6
The Return Of The King,76: The Grey Havens,Frodo,Hobbit,132
The Return Of The King,76: The Grey Havens,Galadriel,Elf,17
The Return Of The King,76: The Grey Havens,Gandalf,Ainur,42
The Return Of The King,76: The Grey Havens,Sam,Hobbit,14
