birth,death,gender,hair,height,name,race,realm,spouse
FA 473,FA 499,Female,Golden,Tall,Niënor,Men,,Túrin Turambar
SR 1261,,Female,,,Nina Lightfoot,Hobbits,Shire,Theobald Bolger
YT,TA 1981,Female,Possibly golden,,Nimrodel,Elves,,"Loved ,Amroth"
"Unknown, possibly sometime during the ,Years of the Trees",FA 506,Female,,,Nimloth (elf),Elves,Doriath,Dior Eluchíl
"Before the creation of ,Arda",Immortal,Female,,,Nienna,Ainur,"Valinor,Halls of Nienna",None
unknown,Immortal,Female,,Various,Nielíqui,Ainur,,None
SA 840,"Mid ,Second Age",Female,,,Nessanië,Men,,
"Before the creation of ,Arda",Immortal,Female,,Varies,Nessa,Ainur,Valinor,Tulkas
"YT, during the ,Noontide of Valinor",Still alive,Female,Reddish brown,,Nerdanel,Elves,,Fëanor
,,Female,,,Nellas,Elves,,None
,,,,,Nauglath,,,
,,,,,Narvi,,,
,FA 503,Male,,,Naugladur,Dwarves,,
TA 1684,TA 1856,Male,,,Narmacil II,Men,,Unnamed wife
TA 1049,TA 1294,Male,,,Narmacil I,Men,Gondor,"Unknown, possibly none as he had no children"
,,,,,Nahar,Horse,,
,,,,,Mûmakil,,,
"Early ,First Age",FA 502,Male,,,Mîm,Dwarves,,Unnamed wife
,"March ,3019",Male,,,Muzgash,Orc,,
,YT 1170,Female,Silver,,Míriel,Elves,,Finwë
First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Most likely black or none,"6' 7"" (2.01 m)",Mouth of Sauron,Men,,None
,,,,,The Moth,,,
"Perhaps ,Firstborn",,,,,Morwë,Elves,,
"Late 26th century ,Third Age","Late ,Third Age",Female,,,Morwen (Gondor),Men,,Unnamed husband
FA 443,FA 500,Female,"Dark, grey in old age",Tall,Morwen,Men,,Húrin Thalion
,,Female,,,Mithrellas,Elves,,Imrazôr
,,,,,Minastan,,,
TA 1454,TA 1634,Male,,,Minardil,Men,Gondor,Unnamed wife
"Mid ,Third Age","July 13 ,1944",Male,,,Minohtar,Men,,
SR 1381,"Early-,Fourth Age",Male,,,Merimas Brandybuck,Hobbits,,
YT,"Unknown, presumably still alive",Female,,,Meril-i-Turinqi,Elves,Tol Eressëa,
,,Male,,,Meneldor,Eagles,,
SA 3318,TA 158,Male,,,Meneldil,Men,Gondor,Unnamed wife
,,,,,Men,,,
"Before the creation of ,Arda",Immortal,Male,Dark,Any size by choice,Melkor,Ainur,"Utumno,Angband,Middle-earth,Beleriand",
"Before the creation of ,Arda","Did not die being a ,Maia returned to ,Valinor, after the death of her husband Thingol",Female,Dark,,Melian,Ainur,Doriath,Thingol
Around FA 450 ,,Female,,,Meleth,Men,,Agathor
3019,"February 29 ,3019",Male,Black (film),,Mauhúr,Uruk-hai,"Isengard,Saruman",none
TA 2890,TA 2941,Male,Auburn (film),"Tall (6'4"")",Master of Laketown,Men,Lake-town,
SR 1182,,Male,,,Marroc Brandybuck,Hobbit,,Unnamed wife
SR 1343,,Male,,,Marmadas Brandybuck,Hobbits,,Unnamed wife
"Mid-,Third Age",Mid-Third Age ,Male,,,Marhwini,Men,,Unnamed wife
"Mid ,Third Age",TA 1856,Male,,,Marhari,Men,,Unnamed wife
TA 1557,"Sometime after ,TA 1601",Male,,,Marcho,Hobbits,,
TA 1960,TA 2080,Male,,,Mardil Voronwë,Men,,Unnamed wife
FA 282,FA 376,Male,,,Marach,Men,,Unnamed wife
Before the Creation of Arda,Immortal,Male,,,Manwë,Ainur,"Arda,Valinor",Varda
"After ,SA 61","Early ,Second Age",Male,,,Manwendil,Men,,Possible unnamed wife
"Late ,First Age",Late First Age ,Male,,,Manthor,Men,,
Before the creation of Arda,,Male,,,Mandos,Ainur,,Vairë
TA 2940,TA 3015,Male,,,Gálmód,Men,,Unnamed wife
"Unknown, possibly during the ,First Age",FA 495,Male,Became grey in captivity,,Gwindor,Elves,,"None, betrothed to ,Finduilas"
,,Male,,,Gwaihir,Great Eagles,,
"Late ,Third Age","March 15 ,3019",Male,Blond,,Guthláf,Men,,
"Mid ,First Age",FA 456,Male,,,Gundor,Men,,
,,Male,,,Guilin,Elves,,Unnamed wife
TA 2563,TA 2805,Male,,,Grór,Dwarves,,Unnamed wife
TA 2671,TA 2923,Male,,,Gróin,Dwarves,,Unnamed wife
"Mid ,First Age",FA 474,Male,,,Grithnir,Men,,
,"February 29 ,3019",Male,,,Grishnákh,Orc,,
"Late ,Third Age","March 15 ,3019",Male,,,Grimbold,Men,,
"Unknown, probably several years or so after the ,Battle of Five Armies","Unknown, early ,Fourth Age",Male,Dark,Tall (in Man-form),Grimbeorn,"Men,Skin-changer",,
TA 2862,,Female,,,Rose Greenhand,Hobbits,,Cotman Cotton
TA 2810,,Male,,,Holman Greenhand,Hobbits,,
TA 2859,,Male,,,Hending Greenhand,Hobbits,,
TA 2851,,Male,,,Halfred Greenhand,Hobbits,,
TA 2854,,Male,,,Erling Greenhand,Hobbits,,
,"July ,2941",Male,Grey/white strands of hair (film),About nine feet (film),Great Goblin,Orcs,,
"Late ,First Age",FA 460,Male,,,Gorlim,"Men,Wraith",,Eilinel
TA 2668,TA 2741,Male,,,Gram,Men,Rohan,Unnamed wife
,"March 15, 3019 (film)",Male,"white/gray, possibly light brown (film)","5'9"" - 6'4"" (film)",Gothmog (Lieutenant of Morgul),Orc,"Minas Morgul,the Witch-King",None
"Before the creation of ,Arda",FA 510,Male,,,Gothmog,"Maiar,Balrogs",,
,,Male,,,Gostir,Dragons,,
SR 1134,SR 1236,Male,,,"Gormadoc ""Deepdelver"" Brandybuck",Hobbits,Buckland,Malva Headstrong
TA 2274,,Male,,,Gorhendad (Oldbuck) Brandybuck,Hobbits,,Unnamed wife
,,,,,Gorgol,,,
TA 2908,"Before ,TA 3001",Male,,,Gorbulas Brandybuck,Hobbits,,Unnamed wife
,"March 14 ,3019, slain by ,Shagrat",Male,black,medium,Gorbag,"Uruk-hai,Orc",Cirith Ungol,
,,,,,Bell (Goodchild) Gamgee,,,
,,,,,Togo Goodbody,,,
,,,,,Lily (Baggins) Goodbody,,,
TA 2430,"March 25 ,3019",Male,,,Gollum,Hobbits,,
"Unknown, before ,TA 2700",TA 2747,Male,,,Golfimbul,"Orc,Goblin",Mount Gram,None
,,Female,,,Hanna (Goldworthy) Brandybuck,Hobbit,,Madoc Brandybuck
TA 2619,TA 2699,Male,,,Goldwine,Men,Rohan,
,,,,,Goldilocks (Gardner) Took,,,
"Late ,Third Age",,Male,,,Golasgil,Men,,
"Late ,Third Age","Presumably sometime after ,TA 3019",Male,,,Harry Goatleaf,Men,,
FA 415,FA 473,Female,Blonde,,Glóredhel,Men,,Haldir
TA 2136,TA 2385,Male,,,Glóin (King of Durin's Folk),Dwarves,Grey Mountains,Unnamed wife
TA 2783,FO 15,Male,"Red, later White",,Glóin,Dwarves,,Unnamed wife
"Late ,Third Age",,Male,,,Gléowine,Men,,
"Possibly ,YT",FA 510,Male,Golden,Tall,Glorfindel,Elves,,None
"Unknown, late fifth or sixth century ,First Age",,Male,,,Glirhuin,Men,,
Presumably after Morgoth's return to Angband,FA 501,Male,None,Gigantic,Glaurung,Dragons,,None
TA 2732,TA 2770,Male,,,Girion,Men,,Unnamed wife
,,,,,Gimli (Elf),,,
TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Auburn,,Gimli,Dwarves,,
SA 2630,,Male,,,Gimilzagar,Men,,
SA 3044,SA 3243,Male,,,Gimilkhâd,Men,,Unnamed wife
TA 2907,TA 3007,Female,Blonde (film),"Unknown (book) 1.66m (5'5"") (film)",Gilraen,Men,,Arathorn II
TA 2000,,Female,,,Gilmith,Half-elven,,
,Presumably still alive,Male,,,Gilfanon,Elves,,
,Possible sailed West,Male,Golden,,Gildor Inglorion,"Elves,Noldor",,
"Late ,First Age",FA 460,Male,,,Gildor (Edain),Men,,
FA 450,SA 3441,Male,Possibly golden (book) Dark brown (movie),Tall,Gil-galad,Elves,"Havens of Sirion,Lindon",
First Age,,Female,,,Gildis,Men,,"Hador, Lórindol"
"Late ,Third Age",,Male,Black,Short,Ghân-buri-Ghân,Drúedain,,
,,Male,,,Gelmir (of Angrod's kin),Elves,,
,,,,,Robin Gardner,,,
,,,,,Primrose Gardner,,,
"Mid ,First Age",,Male,,,Gethron,Men,,
,FA 473,Male,,,Gelmir,Elves,,
,,,,,Pippin Gamgee,,,
,,,,,Wilcome Cotton,,,
TA 2941,FO 20,Male,,,Tolman Cotton,Hobbits,,Lily Brown
TA 2984,FO 61,Female,Light brown (film),,Rosie Cotton,Hobbits,,Sam Gamgee
TA 2983,,Female,,,Marigold (Gamgee) Cotton,Hobbits,,Tolman Cotton
"Late ,Third Age",,Female,,,Lily Cotton,Hobbits,,Farmer Cotton
,,,,,Carl Cotton,,,
TA 2886,,Male,,,Bowman Cotton,Hobbits,,None
TA 2980,FO 60,Male,,,Tolman Cotton Jr.,Hobbits,,Marigold Cotton
,,,,,Cottar,,,
,,,,,Cora Goodbody,,,
SA 3379,TA 2,Male,,,Ciryon,Men,,"Unknown, possibly known"
"Mid ,Second Age","After ,SA 1700",Male,Black,Tall,Ciryatur,Men,,
TA 820,TA 1015,Male,,,Ciryandil,Men,Gondor,Unnamed wife
TA 2449,TA 2567,Male,,,Cirion,Men,,Unnamed wife
,,,,,Poppy (Chubb-Baggins) Bolger,,,
TA 2903,TA 2999,Male,,,Falco Chubb-Baggins,Hobbits,,Unnamed wife
"Late ,Third Age",,Male,,,Ceorl,Men,,
SA 575,,Male,,,Cemendur (son of Axantur),Men,,Unnamed wife
SA 3399,TA 238,Male,,,Cemendur,Men,Gondor,Unnamed wife
TA 979,TA 1191,Male,,,Celepharn,Men,Arthedain,Unnamed wife
"During in the ,Noontide of Valinor",FA 506,Male,Fair,,Celegorm,Elves,,None
"Between the years ,SA 350, and SA 400","Still alive; Departed to ,Aman, in ,TA 2510",Female,Possibly silver,,Celebrían,Elves,,Elrond
TA 1062,TA 1272,Male,,,Celebrindor,Men,Arthedain,Unnamed wife
YT,"SA 1697 ,War of the Elves and Sauron",Male,Dark,,Celebrimbor,Elves,Eregion,
YT,"Still alive, departed over the sea in the early Fourth Age",Male,Silver,Tall,Celeborn,Elves,"Eregion,Lothlórien,Caras Galadhon",Galadriel
TA 1259,TA 1447,Male,,,Castamir the Usurper,Men,Gondor,Unnamed wife
"Before the Creation of ,Arda",FA 466,Male,Black with red stripes,Gigantic,Carcharoth,Werewolves,Angband,
,,,,,Carc,,,
"During the ,Noontide of Valinor",FA 506,Male,Dark,,Caranthir,Elves,,Unnamed wife
TA 1058,TA 1304,Male,,,Calmacil,Men,Gondor,Unnamed wife
SA 512,SA 900,Male,,,Caliondo,Men,,Unnamed wife
,,,,,Calimmacil,,,
TA 1736,TA 1936,Male,,,Calimehtar,Men,Gondor,Unnamed wife
"Late ,First Age",FA 473,Male,,,Bór,Men,,Unnamed wife
FA 262,FA 355,Male,,,Bëor,Men,,Unnamed wife
"Late ,Third Age","Early ,Fourth Age",Male,Brown (movie),,Barliman Butterbur,Men,,
,,,,,Myrtle Burrows,,,
,,,,,Mosco Burrows,,,
TA 2974,"November 3 ,3019",Male,Black,,Gríma Wormtongue,Men,,
"Mid-,Second Age","March 15 ,3019",Male,"Brown, graying, later white","7' 1"" (2.13 metres)",Witch-king of Angmar,"Men,Wraith","Angmar,Minas Morgul,Osgiliath",
TA 2800,,Male,,,Wiseman Gamwich,Hobbit,,Unnamed wife
"Late ,Third Age","Early ,TA 3019",Male,,,Willie Banks,Hobbits,Bree,
,,,,,Wife of Barach,,,
,,,,,Widow Rumble,,,
,,,,,Will Whitfoot,,,
Possibly pre First Age,Unknown; possibly still alive,Most likely male,None,Huge,Watcher in the Water,Urulóki,Doors of Durin,Most likely none
,,,,,Warg Matriarch,,,
TA 2780,TA 2851,Male,,,Walda,Men,,Unnamed wife
SA 425,"Early ,Second Age",Male,,,Vëantur,Men,,Unnamed wife
,,,,,Vëannë,,,
First Age,,Male,,,Voronwë,Elves,,None known
TA 1919,TA 2029,Male,,,Vorondil,Men,,Unnamed wife
"Before ,TA 1255",TA 1344,Female,,,Vidumavi,Men,,Valacar
"Mid-,Third Age",,Male,,,Vidugavia,Men,Rhovanion,Unnamed wife
SA 203,"Early ,Second Age",Female,,,Vardilmë,Men,,
SA 61,SA 471,Male,,,Vardamir Nólimon,Men,Númenor,Unnamed wife
Before the creation of Arda,Immortal,Female,,,Varda,Ainur,Arda,Manwë
TA 462,TA 652,Male,,,Valandur,Men,Arnor,Unnamed wife
"Early ,Second Age","Early ,Second Age",Male,,,Valandil of Andúnië,Men,,
SA 3430,TA 249,Male,,,Valandil,Men,Arnor,Unnamed wife
TA 1194,TA 1432,Male,,,Valacar,Men,Gondor,Vidumavi
YT,,Female,,,Vairë (Elf),Elves,,Lindo
Before the creation of Arda,Immortal,Female,,,Vairë,Ainur,"Valinor,Halls of Mandos",Mandos
"Late ,First Age",FA 460,Male,,,Urthel,Men,,
,"Possibly end of ,First Age",Female,,Enormous,Ungoliant,Great Spiders,,
"Mid ,First Age",FA 473,Male,,,Ulwarth,Men,,
,,,,,Ulrad,,,
"Before the creation of ,Arda",Immortal,Male,,,Ulmo,Ainur,"Valinor,Ulmonan",None
"Mid ,First Age",FA 473,Male,,,Ulfast,Men,,
"Late ,First Age",FA 473,Male,,,Ulfang,Men,,Unnamed wife
"Mid ,First Age",FA 473,Male,,,Uldor,Men,,
"Early ,Second Age",Mid Second Age ,Male,,,Ulbar,Men,,Unnamed wife
"Before the creation of ,Arda",Immortal,Female,,,Uinen,,,Ossë
3019,February 293019,Male,Dark (movie),"6' 6"" (movie)",Uglúk,Uruk-hai,Isengard,None
,3019,Male,,,Ufthak,Orc,Cirith Ungol,None
TA 2815,TA 2914,Male,,,Túrin II,Men,,Unnamed wife
TA 2165,TA 2278,Male,,,Túrin I,Men,,Unnamed wife
FA 464,FA 499,Male,Dark,Tall,Túrin,Men,,Nienor
,,,,,Daddy Twofoot,,,
TA 2855,TA 2953,Male,,,Turgon (Steward),Men,,Unnamed wife
YT 1300,FA 510,Male,Dark,,Turgon,Elves,"Nevrast,Gondolin",Elenwë
TA 397,TA 667,Male,,,Turambar,Men,Gondor,Unnamed wife
FA 472,None; sailed into the West and was accounted amongst the Eldar,Male,Golden,Tall,Tuor,Men,,Idril Celebrindal
YT,,Male,,,Tulkastor,Elves,,Unnamed wife
"Before the creation of ,Arda",Immortal,Male,Golden,,Tulkas,Ainur,"Valinor,House of Tulkas",Nessa
YT,,Male,"Leaf, twig and moss like",15'4,Treebeard,"Ents,Onodrim",,Fimbrethil
TA 2890,TA 2981,Male,,,Sigismond Took,Hobbits,,Unnamed wife
SR 1256,,Female,,,Rosa (Baggins) Took,Hobbits,,Hildigrim Took
TA 2976,Fourth Age,Male,,,Beregond (Captain),Men,,Unnamed wife
TA 2700,TA 2811,Male,,,Beregond,Men,,Unnamed wife
FA 340,,Male,,,Bereg,Men,,
,"Before the ,War of the Ring",Male,Black,Tall,Beorn,Skin-changer,,
FA 292,,Male,,,Belen,Men,,Unnamed wife
FA 339,,Male,,,Belemir,Men,,Adanel
"Late ,First Age",FA 460,Male,,,Belegund,Men,,Unnamed wife
TA 2074,TA 2204,Male,,,Belegorn,Men,,Unnamed wife
TA 811,TA 1029,Male,,,Beleg of Arnor,Men,"Arnor,Arthedain",Unnamed wife
,FA 489,Male,,,Beleg,Elves,,
TA 2752,TA 2872,Male,,,Belecthor II,Men,,Unnamed wife
TA 2545,TA 2655,Male,,,Belecthor I,Men,,Unnamed wife
"Mid-,First Age",,Female,Brown,,Beldis,Men,,Handir
FA 316,,Male,,,Beldir,Men,,Unnamed wife
,"March 3 ,3019",Male,Leafy-hair,Very tall,Beechbone,Ents,,
TA 2985,"Early ,Fourth Age",Male,,"6'2""",Bard II,Men,"Dale,Lake-town",
TA 2898,TA 2977,Male,Black (films),,Bard,Men,Dale,Unnamed wife
FA 317,,Male,,,Baranor,Men,,Unnamed wife
FA 289,FA 380,Male,,,Baran,Men,Estolad,Unnamed wife
TA 2290,TA 2412,Male,,,Barahir (Steward),Men,Gondor,Unnamed wife
,,,,,Barahir (Fourth Age),,,
FA 402,FA 460,Male,Possibly dark,,Barahir,Men,,Emeldir
FA 420,FA 460,Male,,,Baragund,Men,,Unnamed wife
TA 2763,TA 2994,Male,White,,Balin,Dwarves,,
,,,,,Baldor,,,
,,,,,Balcmeg,,,
TA 2925,TA 3007,Male,Brown (film),"1.76m / 5'9"" (film)",Bain,Men,Dale,Unnamed wife
,,,,,Ruby (Bolger) Baggins,,,
TA 2948,,Male,,,Porto Baggins,Hobbits,,
TA 2946,,Male,,,Ponto Baggins II,Hobbits,,Unnamed wife
,,,,,Ponto Baggins I,,,
TA 2816,TA 2911,Male,,,Ponto Baggins,Hobbits,,Mimosa Bunce
,,,,,Polo Baggins,,,
TA 2950,,Female,,,Peony (Baggins) Burrows,Hobbits,,Milo Burrows
,,,,,Pansy Baggins,,,
,,,,,Man in the Moon,,,
TA 1144,TA 1349,Male,,,Malvegil,Men,Arthedain,Unnamed wife
,,Female,,,"Malva ""Headstrong"" Brandybuck",Hobbit,,Gormadoc Brandybuck
TA 895,TA 1110,Male,,,Mallor,Men,"Arthedain,Arnor",Unnamed wife
"Mid ,Third Age",Mid Third Age ,Male,"Dark, later grey ",,Malbeth the Seer,Men,,"Unknown, possible none"
,,,,,Malantur,,,
,,,,,Mallor (BOH),,,
FA 307,FA 398,Male,,,Malach,Men,,Meldis
SA 377,,Female,,,Mairen,Men,,
UnknownYT,Still alive,Male,Brown with copperlike-red,,Mahtan,Elves,,Unnamed wife
F.A. 341,,Male,,,Magor,Men,,
"During the ,Noontide of Valinor",Fate unknown,Male,Dark,,Maglor,Elves,,Unnamed wife
TA 2948,,Male,Brown,,Farmer Maggot,Hobbits,,Unnamed wife
FA 320,FA 510,Male,Black,Tall,Maeglin,Elves,,None
"During the ,Noontide of Valinor",FA 587,Male,Dark red,Tall,Maedhros,Elves,,None
"Late ,Third Age",,Male,Dark,Tall,Mablung the Ranger,Men,,
,FA 502,Male,,,Mablung,Elves,,
YT 1200,FA 503,Female,Black,,Lúthien,"Elves,Maiar",,Beren Erchamion
"Late ,Third Age",TA 2994,Male,,,Lóni,Dwarves,,
TA 2752,TA 2842,Male,,,Brytta Léofa,Men,Rohan,Unnamed wife
TA 2459,TA 2501,Male,,,Léod,Men,,Unnamed wife
"Before the creation of ,Arda",First Age,Male,Mane of red flame,,Lungorthin,Balrog,,
" ,3019",February 293019,Male,Dark,6'1 (film),Lugdush,Uruk-hai,,
TA 2999,,Female,,,Lothíriel,Men,Rohan,omer
"Late ,First Age",Late First Age ,Male,,,Lorgan,Men,,
"Late ,Second Age",Late Second Age ,Female,,,Lindórië,Men,,Unknown husband
YT,,Male,,,Lindo,Elves,,Vairë
SA 551,,Female,,,Lindissë,Men,,
,"Possibly departed to ,Aman",Male,Brown (films),Tall,Lindir,Elves,,
SR 1313,Between SR 1401-1418,,,3'8',Letter 211,,,Lilah Took
YT,YT (possibly),Male,,,Lenwë,Elves,,Unnamed wife
,,Male,,,Legolas (elf of Gondolin),Elves,,
,"Still alive, departed to ,Aman ,FO 120",Male,"Uncertain (book), Blonde (films)",,Legolas,Elves,,
"Late ,First Age",,Male,,,Larnach,Men,,Unnamed wife
"Possibly ,First Age",Possibly still alive,Male,,,Landroval,Eagle,,
FA 466,FA 469,Female,Blonde,,Lalaith,Men,,
,,,,,Hamfast Gardner,,,
March 253021,"Early ,Fourth Age",Female,Blonde or Golden,,Elanor Gardner,Hobbits,,Fastred of Greenholm
Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,"Grey, later white",,Gandalf,Maiar,,
"Possibly late ,Third Age",,Male,Possibly blond,,Gamling,Men,,
"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,Blond (movie),"1.22m (4'0"")",Samwise Gamgee,Hobbits,,Rosie Cotton
,,,,,Rose Gamgee,,,
,,,,,Gamil Zirak,,,
TA 2976,,Female,,,May Gamgee,Hobbits,,
TA 2965,,Male,,,Hamson Gamgee,Hobbits,,None
TA 2926,FO 7 (SR 1428),Male,"Brown, later gray","1.2m (3'11"")",Hamfast Gamgee,Hobbit,,Bell Goodchild
TA 2969,,Male,,,Halfred Gamgee,Hobbits,,
FO 2,FO ,Male,,,Frodo Gardner,Hobbits,,Unnamed wife
TA 2972,FO 54,Female,,,Daisy Gamgee I,Hobbits,,
,,,,,Bilbo Gamgee,,,
,,,,,Halfast Gamgee,,,
,,,,,Merry Gamgee,,,
,,Male,,,Galion,Elves,,
,,Male,,,Galdor of the Tree,Elves,,
,,Male,Golden (movie),6'3 (movie),Galdor of the Havens,Elves,,
FA 417,FA 462,Male,,Tall,Galdor,Men,,Hareth
,,,,,Galar,,,
YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn
,,Male,,,Galathil,Elves,,Unnamed Wife
TA 2004,TA 2129,Male,,,Galador,Half-elven,,Unnamed wife
,,,,,Fíriel Fairbairn,,,
TA 1896,,Female,,,Fíriel,Men,Arthedain,Arvedui
TA 2859,November 23TA 2941,Male,Yellow,,Fíli and Kíli,Dwarves,,None
YT 1169,YT 1497,Male,Raven,Tall,Fëanor,Elves,"Tirion,Formenos",Nerdanel
TA 2662,TA 2799,Male,,,Fundin,Dwarves,,Unnamed wife
,,,,,Fuithluin,,,
Second Age,,Male,,,Fuinur,Men,,
TA 2552,TA 2589,Male,,,Frór,Dwarves,,
TA 2594,TA 2680,Male,,,Fréawine,Men,Rohan,
TA 2726,TA 2798,Male,,,Fréaláf Hildeson,Men,Rohan,Unnamed wife
TA 2570,TA 2659,Male,,,Fréa,Men,Rohan,Unnamed wife
"Late ,Third Age",November 102994,Male,,,Frár,Dwarf,,
TA 1940,TA 2001,Male,,,Frumgar,Men,,Unnamed wife
TA 2751,TA 2799,Male,,,Frerin,Dwarves,,
TA 2698,TA 2754,Male,Dark,,Freca,Men,,Unnamed wife
TA 1967,"Unknown, sometime after ,TA 2000",Male,,,Fram,Men,,"Unknown, probably as he had descendants"
"Late ,First Age",Late First Age ,Male,Fair,,Forweg,Men,,"Unknown, probably none"
TA 2745,TA 2848,Male,,,Fortinbras Took I,Hobbits,,Unnamed wife
"Mid ,Third Age",TA 1944,Male,,,Forthwini,Men,,"Unknown, but possible since he had descendants"
"Late ,Third Age",TA 3019,Male,,,Forlong,Men,,unknown
TA 2830,TA 2903,Male,,,Folcwine,Men,Rohan,Unnamed wife
TA 2858,TA 2885,Male,,,Folcred,Men,,
TA 2804,TA 2864,Male,,,Folca,Men,,Unnamed wife
"Late ,Third Age",TA 2994,Male,,,Flói,Dwarves,,
,,,,,Fladrif,,,
,,,,,Moro Burrows,,,
TA 2996,,Male,,,Minto Burrows,Hobbits,,
SR 1347,,Male,,,Milo Burrows,Hobbits,,Peony Baggins
TA 1930,TA 2031,Male,,,Bucca of the Marish,Hobbits,,
,,,,,Broncho Stonecrow,,,
TA 2857,,Female,,,Sapphira (Brockhouse) Boffin,Hobbits,,Uffo Boffin
"Mid ,First Age",Late First Age ,Male,,,Bregor,Men,,Unnamed wife
TA 2913,TA 3012,Female,,,Asphodel (Brandybuck) Burrows,Hobbit,,Rufus Burrows
,,,,,Brodda,,,
"Late ,First Age",FA 455,Male,,,Bregolas,Men,,Unnamed wife
TA 2512,TA 2570,Male,,,Brego,Men,Rohan,Unnamed wife
TA 2519,,Male,Leafy-hair,,Bregalad,Ents,,
,,,,,Salvia (Brandybuck) Bolger,,,
,,,,,Rorimac Brandybuck,,,
TA 2920,TA 2980,Female,,,Primula (Brandybuck) Baggins,Hobbits,,Drogo Baggins
TA 2860,TA 2960,Female,,,Mirabella (Took) Brandybuck,Hobbits,,Gorbadoc Brandybuck
TA 2948,,Male,,,Seredic Brandybuck,Hobbits,,Hilda Bracegirdle
,,,,,Merimac Brandybuck,,,
,,,,,Orgulas Brandybuck,,,
TA 2982,FO 65,Male,Golden yellow (film),"1.38m (4'6"")",Meriadoc Brandybuck,Hobbit,,Estella (Bolger) Brandybuck
TA 2983,"Early-,Fourth Age",Female,Dark Brown,,Mentha Brandybuck,Hobbits,,
SR 1385,,Female,,,Melilot Brandybuck,Hobbits,,
SR 1175,SR 1277,Male,,,Madoc Brandybuck,Hobbit,Buckland,Hanna Goldworthy
,,,,,Ilberic Brandybuck,,,
,,,,,Gorbadoc Brandybuck,,,
,,,,,Marmadoc Brandybuck,,,
TA 2985,"Before ,FO 63",Female,Dark Blonde,,Estella (Bolger) Brandybuck,Hobbits,,Meriadoc Brandybuck
TA 2954,,Female,,,Hilda Brandybuck,Hobbits,,Seredic Brandybuck
TA 2936,,Female,,,Esmeralda Brandybuck,Hobbits,,Saradoc Brandybuck
,,,,,Doderic Brandybuck,,,
TA 2994,,Female,,,Celandine Brandybuck,Hobbits,,None
,,,,,Berilac Brandybuck,,,
TA 2904,TA 2998,Female,,,Amaranth Brandybuck,Hobbits,,None
TA 2818,,Female,,,Adaldrida (Bolger) Brandybuck,Hobbits,,Marmadoc Brandybuck
First Age,FA 499,,,,Brandir,Men,,
TA 2957,"March 17 ,3019",Male,,,Brand,Men,"Dale,Laketown",Unnamed wife
TA 2865,,Female,,,Primrose Bracegirdle,Hobbits,,Blanco Bracegirdle
TA 2913,TA 3010,Male,,,Bruno Bracegirdle,Hobbits,,Unnamed wife
TA 2865,,Male,,,Blanco Bracegirdle,Hobbits,,Primrose Boffin
"Late ,First Age",FA 473,Male,,,Borthand,Men,,
"Late ,Third Age","April 15 ,2510",Male,,,Borondir,Men,,
First Age,First Age ,Male,,,Boron,Men,,Unnamed wife
TA 2410,TA 2489,Male,,,Boromir (Steward),Men,,Unnamed wife
FA 338,FA 432,Male,,,Boromir (House of Bëor),Men,,Unnamed wife
,,,,,Reginard Took,,,
,,,,,Pimpernel Took,,,
,,,,,Pervinca Took,,,
TA 2990,FO 65,Male,Almost golden,"1.34m (4'5"")",Peregrin Took,Hobbits,,Diamond of Long Cleeve
TA 2975,"before ,FO 63",Female,,,Pearl Took,Hobbits,,None
TA 2933,FO 13,Male,,,Paladin Took II,Hobbits,,Eglantine Banks
,,,,,Lalia (Clayhanger) Took,,,
TA 2847,"TA 2946, (SR 1346",Male,,,Isembard Took,Hobbits,,
SR 1240,SR 1341,Male,,,Hildigrim Took,Hobbits,,Rosa Baggins
TA 2844,,Male,,,Hildifons Took,Hobbits,,
TA 2849,TA 2934,Male,,,Hildibrand Took,Hobbits,,
TA 2790,TA 2920,Male,,,Gerontius Took,Hobbits,,Adamanta Chubb
,,,,,Flambard Took,,,
,,,,,Ferdinand Took,,,
TA 2916,TA 3015,Male,,,Ferumbras III Took,Hobbits,,None
TA 2928,FO 2,Male,,,Adelard Took,Hobbits,,Unnamed wife
TA 2817,TA 2923,Female,,,Adamanta (Chubb) Took,Hobbits,,"Gerontius ""The Old"" Took"
,,,,,Ferdibrand Took,,,
TA 2880,TA 2982,Male,,,Adalgrim Took,Hobbits,,Unnamed wife
,,,,,Everard Took,,,
TA 2701,TA 2800,Male,,"1.35m (4'5"")",Bandobras Took,Hobbit,,Unnamed wife 
TA 2666,TA 2759,Male,,,Isumbras Took III,Hobbits,,Unnamed wife
TA 2620,TA 2722,Male,,,Isengrim Took II,Hobbits,,Unnamed wife
TA 2878,TA 2980,Male,,,Fortinbras Took II,Hobbits,,Lalia Clayhanger
,,,,,Tolman Gardner,,,
TA 2295,TA 2398,Male,,,Isumbras Took I,Hobbits,,
FO 10,FO 112,Male,,,Faramir Took I,Hobbits,,Goldilocks Gardner
"Third Age, or before",,Male,None,About 13',"Tom, Bert, and William",Stone-trolls,,None
