name,aliases,titles,rule,race,birth,death,gender,culture,languages,hair,height,realm,spouse,children,weapon,wikiUrl,imageUrl,_id
Bilbo Baggins,,,,Hobbit,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,,,"Brown, later white","1.25m (4'1"")",,None,,,http://lotr.wikia.com//wiki/Bilbo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc38)
Bladorthin,,,,Human,,Late Third Age,Male,,,,,"Lake-town,Dale,Rhûn,Dorwinion",,,,http://lotr.wikia.com//wiki/Bladorthin,,ObjectId(5cd99d4bde30eff6ebccfc39)
Black Serpent,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/Black_Serpent,,ObjectId(5cd99d4bde30eff6ebccfc3a)
Blanco,,,,Hobbit,TA 1560,"Sometime after ,TA 1601",Male,,,,,,,,,http://lotr.wikia.com//wiki/Blanco,,ObjectId(5cd99d4bde30eff6ebccfc3b)
Belecthor II,,,,Human,TA 2752,TA 2872,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Belecthor_II,,ObjectId(5cd99d4bde30eff6ebccfc3c)
Bob,,,,Hobbit,"Late ,Third Age","Early ,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Bob,,ObjectId(5cd99d4bde30eff6ebccfc3d)
Donnamira (Took) Boffin,,,,Hobbit,TA 2856,TA 2948,Female,,,,,,Hugo Boffin,,,http://lotr.wikia.com//wiki/Donnamira_(Took)_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc3e)
Daisy (Baggins) Boffin,,,,Hobbit,TA 2950,,Female,,,,,,Griffo Boffin,,,http://lotr.wikia.com//wiki/Daisy_(Baggins)_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc3f)
Bosco Boffin,,,,Hobbit,TA 2767,TA 2858,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Bosco_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc40)
Folco Boffin,,,,Hobbit,TA 2978,"Early ,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Folco_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc41)
Gerda (Boffin) Bolger,,,,Hobbit,TA 2904,TA 3004,Female,,,,,,Adalbert Bolger,,,http://lotr.wikia.com//wiki/Gerda_(Boffin)_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc42)
Griffo Boffin,,,,Hobbit,TA 2946,,Male,,,,,,Daisy Baggins,,,http://lotr.wikia.com//wiki/Griffo_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc43)
Hugo Boffin,,,,Hobbit,TA 2854,TA 2945,Male,,,,,,Donnamira Took,,,http://lotr.wikia.com//wiki/Hugo_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc44)
Ivy (Goodenough) Boffin,,,,Hobbit,"Late ,Third Age",Late Third Age,Female,,,,,,Buffo Boffin,,,http://lotr.wikia.com//wiki/Ivy_(Goodenough)_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc45)
Basso Boffin,,,,Hobbit,TA 2769,,Male,,,,,,None,,,http://lotr.wikia.com//wiki/Basso_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc46)
Otto Boffin,,,,Hobbit,TA 2812,TA 2900,Male,,,,,,Lavender Grubb,,,http://lotr.wikia.com//wiki/Otto_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc47)
Rollo Boffin,,,,Hobbit,TA 2860,,Male,,,,,,Lavender Grubb,,,http://lotr.wikia.com//wiki/Rollo_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc48)
Tosto Boffin,,,,Hobbit,TA 2988,"Early-,Fourth Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Tosto_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc49)
Vigo Boffin,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Vigo_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc4a)
Druda Burrows Boffin,,,,Hobbit,"before ,TA 2860",,Female,,,,,,Rollo Boffin,,,http://lotr.wikia.com//wiki/Druda_Burrows_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc4b)
Filibert Bolger,,,,Hobbit,TA 2942,FO 22,Male,,,Brown (movie),,,Poppy Chubb-Baggins,,,http://lotr.wikia.com//wiki/Filibert_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc4c)
Fredegar Bolger,,,,Hobbit,TA 2980,"Early ,Fourth Age",Male,,,,,,"unknown, possibly unmarried",,,http://lotr.wikia.com//wiki/Fredegar_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc4d)
Jessamine (Boffin) Bolger,,,,Hobbit,TA 2897,"Late ,Third Age",Female,,,,,,Herugar Bolger,,,http://lotr.wikia.com//wiki/Jessamine_(Boffin)_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc4e)
Bofur,,,,Dwarf,TA 2843,,Male,,,Dark Brown (films),,,,,,http://lotr.wikia.com//wiki/Bofur,,ObjectId(5cd99d4bde30eff6ebccfc4f)
Odovacar Bolger,,,,Hobbit,TA 2935,FO 10,Male,,,,,,Rosamunda Took,,,http://lotr.wikia.com//wiki/Odovacar_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc50)
Rosamunda (Took) Bolger,,,,Hobbit,TA 2938,,Female,,,,,,Odovacar Bolger,,,http://lotr.wikia.com//wiki/Rosamunda_(Took)_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc51)
Jago Boffin,,,,Hobbit,TA 2894,TA 2986,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Jago_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc52)
Buffo Boffin,,,,Hobbit,"Late ,Third Age","Late ,Third Age",Male,,,,,,Ivy Goodenough,,,http://lotr.wikia.com//wiki/Buffo_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc53)
Bombur,,,,Dwarf,TA 2834,,Male,,,Ginger,,,,,,http://lotr.wikia.com//wiki/Bombur,,ObjectId(5cd99d4bde30eff6ebccfc54)
Borlad,,,,Human,"Late ,First Age",FA 473,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Borlad,,ObjectId(5cd99d4bde30eff6ebccfc55)
Borlas,,,,Human,TA 3011,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Borlas,,ObjectId(5cd99d4bde30eff6ebccfc56)
Boromir,,,,Human,TA 2978,"February 26 ,3019",Male,,,Dark (book) Light brown (movie),,,,,,http://lotr.wikia.com//wiki/Boromir,,ObjectId(5cd99d4bde30eff6ebccfc57)
Boromir (House of Bëor),,,,Human,FA 338,FA 432,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Boromir_(House_of_B%C3%ABor),,ObjectId(5cd99d4bde30eff6ebccfc58)
Boromir (Steward),,,,Human,TA 2410,TA 2489,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Boromir_(Steward),,ObjectId(5cd99d4bde30eff6ebccfc59)
Wilibald Bolger,,,,Hobbit,TA 2904,TA 3000,Male,,,,,,Prisca Baggins,,,http://lotr.wikia.com//wiki/Wilibald_Bolger,,ObjectId(5cd99d4bde30eff6ebccfc5a)
Borondir,,,,Human,"Late ,Third Age","April 15 ,2510",Male,,,,,,,,,http://lotr.wikia.com//wiki/Borondir,,ObjectId(5cd99d4bde30eff6ebccfc5b)
Borthand,,,,Human,"Late ,First Age",FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Borthand,,ObjectId(5cd99d4bde30eff6ebccfc5c)
Blanco Bracegirdle,,,,Hobbit,TA 2865,,Male,,,,,,Primrose Boffin,,,http://lotr.wikia.com//wiki/Blanco_Bracegirdle,,ObjectId(5cd99d4bde30eff6ebccfc5d)
Bruno Bracegirdle,,,,Hobbit,TA 2913,TA 3010,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Bruno_Bracegirdle,,ObjectId(5cd99d4bde30eff6ebccfc5e)
Primrose Bracegirdle,,,,Hobbit,TA 2865,,Female,,,,,,Blanco Bracegirdle,,,http://lotr.wikia.com//wiki/Primrose_Bracegirdle,,ObjectId(5cd99d4bde30eff6ebccfc5f)
Brand,,,,Human,TA 2957,"March 17 ,3019",Male,,,,,"Dale,Laketown",Unnamed wife,,,http://lotr.wikia.com//wiki/Brand,,ObjectId(5cd99d4bde30eff6ebccfc60)
Brandir,,,,Human,First Age,FA 499,,,,,,,,,,http://lotr.wikia.com//wiki/Brandir,,ObjectId(5cd99d4bde30eff6ebccfc61)
Adaldrida (Bolger) Brandybuck,,,,Hobbit,TA 2818,,Female,,,,,,Marmadoc Brandybuck,,,http://lotr.wikia.com//wiki/Adaldrida_(Bolger)_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc62)
Amaranth Brandybuck,,,,Hobbit,TA 2904,TA 2998,Female,,,,,,None,,,http://lotr.wikia.com//wiki/Amaranth_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc63)
Borlach,,,,Human,"Late ,First Age",FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Borlach,,ObjectId(5cd99d4bde30eff6ebccfc64)
Esmeralda Brandybuck,,,,Hobbit,TA 2936,,Female,,,,,,Saradoc Brandybuck,,,http://lotr.wikia.com//wiki/Esmeralda_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc65)
Estella (Bolger) Brandybuck,,,,Hobbit,TA 2985,"Before ,FO 63",Female,,,Dark Blonde,,,Meriadoc Brandybuck,,,http://lotr.wikia.com//wiki/Estella_(Bolger)_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc66)
Hilda Brandybuck,,,,Hobbit,TA 2954,,Female,,,,,,Seredic Brandybuck,,,http://lotr.wikia.com//wiki/Hilda_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc67)
Madoc Brandybuck,,,,Hobbit,SR 1175,SR 1277,Male,,,,,Buckland,Hanna Goldworthy,,,http://lotr.wikia.com//wiki/Madoc_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc68)
Melilot Brandybuck,,,,Hobbit,SR 1385,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Melilot_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc69)
Mentha Brandybuck,,,,Hobbit,TA 2983,"Early-,Fourth Age",Female,,,Dark Brown,,,,,,http://lotr.wikia.com//wiki/Mentha_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc6a)
Borin,,,,Dwarf,TA 2450,TA 2711,Male,,,,,,,,,http://lotr.wikia.com//wiki/Borin,,ObjectId(5cd99d4bde30eff6ebccfc6b)
Mirabella (Took) Brandybuck,,,,Hobbit,TA 2860,TA 2960,Female,,,,,,Gorbadoc Brandybuck,,,http://lotr.wikia.com//wiki/Mirabella_(Took)_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc6c)
Primula (Brandybuck) Baggins,,,,Hobbit,TA 2920,TA 2980,Female,,,,,,Drogo Baggins,,,http://lotr.wikia.com//wiki/Primula_(Brandybuck)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc6d)
Seredic Brandybuck,,,,Hobbit,TA 2948,,Male,,,,,,Hilda Bracegirdle,,,http://lotr.wikia.com//wiki/Seredic_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc6e)
Brego,,,,Human,TA 2512,TA 2570,Male,,,,,Rohan,Unnamed wife,,,http://lotr.wikia.com//wiki/Brego,,ObjectId(5cd99d4bde30eff6ebccfc6f)
Bregolas,,,,Human,"Late ,First Age",FA 455,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Bregolas,,ObjectId(5cd99d4bde30eff6ebccfc70)
Bregor,,,,Human,"Mid ,First Age",Late First Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Bregor,,ObjectId(5cd99d4bde30eff6ebccfc71)
Sapphira (Brockhouse) Boffin,,,,Hobbit,TA 2857,,Female,,,,,,Uffo Boffin,,,http://lotr.wikia.com//wiki/Sapphira_(Brockhouse)_Boffin,,ObjectId(5cd99d4bde30eff6ebccfc72)
Bucca of the Marish,,,,Hobbit,TA 1930,TA 2031,Male,,,,,,,,,http://lotr.wikia.com//wiki/Bucca_of_the_Marish,,ObjectId(5cd99d4bde30eff6ebccfc73)
Asphodel (Brandybuck) Burrows,,,,Hobbit,TA 2913,TA 3012,Female,,,,,,Rufus Burrows,,,http://lotr.wikia.com//wiki/Asphodel_(Brandybuck)_Burrows,,ObjectId(5cd99d4bde30eff6ebccfc74)
Milo Burrows,,,,Hobbit,SR 1347,,Male,,,,,,Peony Baggins,,,http://lotr.wikia.com//wiki/Milo_Burrows,,ObjectId(5cd99d4bde30eff6ebccfc75)
Celandine Brandybuck,,,,Hobbit,TA 2994,,Female,,,,,,None,,,http://lotr.wikia.com//wiki/Celandine_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc76)
Bëor,,,,Human,FA 262,FA 355,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/B%C3%ABor,,ObjectId(5cd99d4bde30eff6ebccfc77)
Bór,,,,Human,"Late ,First Age",FA 473,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/B%C3%B3r,,ObjectId(5cd99d4bde30eff6ebccfc78)
Calimehtar,,,,Human,TA 1736,TA 1936,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Calimehtar,,ObjectId(5cd99d4bde30eff6ebccfc79)
Minto Burrows,,,,Hobbit,TA 2996,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Minto_Burrows,,ObjectId(5cd99d4bde30eff6ebccfc7a)
Boron,,,,Human,First Age,First Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Boron,,ObjectId(5cd99d4bde30eff6ebccfc7b)
Meriadoc Brandybuck,,,,Hobbit,TA 2982,FO 65,Male,,,Golden yellow (film),"1.38m (4'6"")",,Estella (Bolger) Brandybuck,,,http://lotr.wikia.com//wiki/Meriadoc_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc7c)
Calmacil,,,,Human,TA 1058,TA 1304,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Calmacil,,ObjectId(5cd99d4bde30eff6ebccfc7d)
Celeborn,,,,Elf,YT,"Still alive, departed over the sea in the early Fourth Age",Male,,,Silver,Tall,"Eregion,Lothlórien,Caras Galadhon",Galadriel,,,http://lotr.wikia.com//wiki/Celeborn,,ObjectId(5cd99d4bde30eff6ebccfc7e)
Celebrimbor,,,,Elf,YT,"SA 1697 ,War of the Elves and Sauron",Male,,,Dark,,Eregion,,,,http://lotr.wikia.com//wiki/Celebrimbor,,ObjectId(5cd99d4bde30eff6ebccfc7f)
Celebrindor,,,,Human,TA 1062,TA 1272,Male,,,,,Arthedain,Unnamed wife,,,http://lotr.wikia.com//wiki/Celebrindor,,ObjectId(5cd99d4bde30eff6ebccfc80)
Celebrían,,,,Elf,"Between the years ,SA 350, and SA 400","Still alive; Departed to ,Aman, in ,TA 2510",Female,,,Possibly silver,,,Elrond,,,http://lotr.wikia.com//wiki/Celebr%C3%ADan,,ObjectId(5cd99d4bde30eff6ebccfc81)
Celegorm,,,,Elf,"During in the ,Noontide of Valinor",FA 506,Male,,,Fair,,,None,,,http://lotr.wikia.com//wiki/Celegorm,,ObjectId(5cd99d4bde30eff6ebccfc82)
Celepharn,,,,Human,TA 979,TA 1191,Male,,,,,Arthedain,Unnamed wife,,,http://lotr.wikia.com//wiki/Celepharn,,ObjectId(5cd99d4bde30eff6ebccfc83)
Cemendur,,,,Human,SA 3399,TA 238,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Cemendur,,ObjectId(5cd99d4bde30eff6ebccfc84)
Cemendur (son of Axantur),,,,Human,SA 575,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Cemendur_(son_of_Axantur),,ObjectId(5cd99d4bde30eff6ebccfc85)
Ceorl,,,,Human,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ceorl,,ObjectId(5cd99d4bde30eff6ebccfc86)
Caliondo,,,,Human,SA 512,SA 900,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Caliondo,,ObjectId(5cd99d4bde30eff6ebccfc87)
Cirion,,,,Human,TA 2449,TA 2567,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Cirion,,ObjectId(5cd99d4bde30eff6ebccfc88)
Ciryandil,,,,Human,TA 820,TA 1015,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Ciryandil,,ObjectId(5cd99d4bde30eff6ebccfc89)
Ciryatur,,,,Human,"Mid ,Second Age","After ,SA 1700",Male,,,Black,Tall,,,,,http://lotr.wikia.com//wiki/Ciryatur,,ObjectId(5cd99d4bde30eff6ebccfc8a)
Ciryon,,,,Human,SA 3379,TA 2,Male,,,,,,"Unknown, possibly known",,,http://lotr.wikia.com//wiki/Ciryon,,ObjectId(5cd99d4bde30eff6ebccfc8b)
Bowman Cotton,,,,Hobbit,TA 2886,,Male,,,,,,None,,,http://lotr.wikia.com//wiki/Bowman_Cotton,,ObjectId(5cd99d4bde30eff6ebccfc8c)
Lily Cotton,,,,Hobbit,"Late ,Third Age",,Female,,,,,,Farmer Cotton,,,http://lotr.wikia.com//wiki/Lily_Cotton,,ObjectId(5cd99d4bde30eff6ebccfc8d)
Marigold (Gamgee) Cotton,,,,Hobbit,TA 2983,,Female,,,,,,Tolman Cotton,,,http://lotr.wikia.com//wiki/Marigold_(Gamgee)_Cotton,,ObjectId(5cd99d4bde30eff6ebccfc8e)
Rosie Cotton,,,,Hobbit,TA 2984,FO 61,Female,,,Light brown (film),,,Sam Gamgee,,,http://lotr.wikia.com//wiki/Rosie_Cotton,,ObjectId(5cd99d4bde30eff6ebccfc8f)
Tolman Cotton,,,,Hobbit,TA 2941,FO 20,Male,,,,,,Lily Brown,,,http://lotr.wikia.com//wiki/Tolman_Cotton,,ObjectId(5cd99d4bde30eff6ebccfc90)
Castamir the Usurper,,,,Human,TA 1259,TA 1447,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Castamir_the_Usurper,,ObjectId(5cd99d4bde30eff6ebccfc91)
Curufin,,,,Elf,"During the ,Noontide of Valinor",FA 506,Male,,,Dark,,Himlad,Unnamed wife,,,http://lotr.wikia.com//wiki/Curufin,,ObjectId(5cd99d4bde30eff6ebccfc92)
Círdan,,,,Elf,"YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).","Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.",Male,,,"Silver, bearded",Very tall,,Presumably none,,,http://lotr.wikia.com//wiki/C%C3%ADrdan,,ObjectId(5cd99d4bde30eff6ebccfc93)
Dairuin,,,,Human,"Late ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Dairuin,,ObjectId(5cd99d4bde30eff6ebccfc94)
Damrod,,,,Human,"Late ,Third Age",TA 3019,Male,,,Dark,,,,,,http://lotr.wikia.com//wiki/Damrod,,ObjectId(5cd99d4bde30eff6ebccfc95)
User:Deathshriek,,,,Dwarf,,,,,,,,,,,,http://lotr.wikia.com//wiki/User:Deathshriek,,ObjectId(5cd99d4bde30eff6ebccfc96)
Denethor (First Age),,,,Elf,YT,YT 1497,Male,,,,,Ossiriand,,,,http://lotr.wikia.com//wiki/Denethor_(First_Age),,ObjectId(5cd99d4bde30eff6ebccfc97)
Falco Chubb-Baggins,,,,Hobbit,TA 2903,TA 2999,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Falco_Chubb-Baggins,,ObjectId(5cd99d4bde30eff6ebccfc98)
Caranthir,,,,Elf,"During the ,Noontide of Valinor",FA 506,Male,,,Dark,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Caranthir,,ObjectId(5cd99d4bde30eff6ebccfc99)
Denethor II,,,,Human,TA 2930,"March 15 ,3019",Male,,,"Dark, grey (in old age)",,,Finduilas,,,http://lotr.wikia.com//wiki/Denethor_II,,ObjectId(5cd99d4bde30eff6ebccfc9a)
Diamond Took,,,,Hobbit,TA 2995,"Before ,FO 63",Female,,,Brown (film),,,Peregrin Took,,,http://lotr.wikia.com//wiki/Diamond_Took,,ObjectId(5cd99d4bde30eff6ebccfc9b)
Dinodas Brandybuck,,,,Hobbit,SR 1316,SR 1410,Male,,,,,,,,,http://lotr.wikia.com//wiki/Dinodas_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc9c)
Dior (Steward),,,,Human,TA 2328,TA 2435,Male,,,,,,Possibly none,,,http://lotr.wikia.com//wiki/Dior_(Steward),,ObjectId(5cd99d4bde30eff6ebccfc9d)
Dodinas Brandybuck,,,,Hobbit,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Dodinas_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfc9e)
Dori,,,,Dwarf,TA 2827,,Male,,,Gray (film),,,,,,http://lotr.wikia.com//wiki/Dori,,ObjectId(5cd99d4bde30eff6ebccfc9f)
Dorlas,,,,Human,"Late ,First Age",FA 499,Males,,,,,,,,,http://lotr.wikia.com//wiki/Dorlas,,ObjectId(5cd99d4bde30eff6ebccfca0)
Denethor I,,,,Human,TA 2375,TA 2477,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Denethor_I,,ObjectId(5cd99d4bde30eff6ebccfca1)
Duinhir,,,,Human,"Late-,Third Age","Early-,Fourth Age",Male,,,Dark (Decipher Card),Tall,,Unnamed wife,,,http://lotr.wikia.com//wiki/Duinhir,,ObjectId(5cd99d4bde30eff6ebccfca2)
Durin VII,,,,Dwarf,FO 2,,Male,,,,,Khazad-dum,,,,http://lotr.wikia.com//wiki/Durin_VII,,ObjectId(5cd99d4bde30eff6ebccfca3)
Dwalin,,,,Dwarf,TA 2772,FO 91,Male,,,Brown,,,,,,http://lotr.wikia.com//wiki/Dwalin,,ObjectId(5cd99d4bde30eff6ebccfca4)
Dáin I,,,,Dwarf,TA 2440,TA 2589,Male,,,,,Grey Mountains,Unnamed wife,,,http://lotr.wikia.com//wiki/D%C3%A1in_I,,ObjectId(5cd99d4bde30eff6ebccfca5)
Dervorin,,,,Human,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Dervorin,,ObjectId(5cd99d4bde30eff6ebccfca6)
Déagol,,,,Hobbit,"Between TA 2400 and ,TA 2430",TA 2463,Male,,,Dark-brown,,,None,,,http://lotr.wikia.com//wiki/D%C3%A9agol,,ObjectId(5cd99d4bde30eff6ebccfca7)
Déor,,,,Human,TA 2644,TA 2718,Male,,,,,Rohan,,,,http://lotr.wikia.com//wiki/D%C3%A9or,,ObjectId(5cd99d4bde30eff6ebccfca8)
Derufin,,,,Human,"Late ,Third Age","Mid ,March ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/Derufin,,ObjectId(5cd99d4bde30eff6ebccfca9)
Duilin,,,,Human,"Late ,Third Age",TA 3019,Male,,,,,,,,,http://lotr.wikia.com//wiki/Duilin,,ObjectId(5cd99d4bde30eff6ebccfcaa)
Dáin II Ironfoot,,,,Dwarf,TA 2767,"March 17 ,3019",Male,,,,4'5 - 5' (Estimate),Lonely Mountain,Unnamed wife,,,http://lotr.wikia.com//wiki/D%C3%A1in_II_Ironfoot,,ObjectId(5cd99d4bde30eff6ebccfcab)
Déorwine,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/D%C3%A9orwine,,ObjectId(5cd99d4bde30eff6ebccfcac)
Dírhael,,,,Human,TA 2838,"After ,TA 2929",Male,,,Brown (film),,,Ivorwen,,,http://lotr.wikia.com//wiki/D%C3%ADrhael,,ObjectId(5cd99d4bde30eff6ebccfcad)
Dírhavel,,,,Human,"Late ,First Age",Late First Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/D%C3%ADrhavel,,ObjectId(5cd99d4bde30eff6ebccfcae)
Dís,,,,Dwarf,TA 2760,"After ,TA 2941",Female,,,,,,,,,http://lotr.wikia.com//wiki/D%C3%ADs,,ObjectId(5cd99d4bde30eff6ebccfcaf)
Dúnhere,,,,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/D%C3%BAnhere,,ObjectId(5cd99d4bde30eff6ebccfcb0)
Ecthelion II,,,,Human,TA 2886,TA 2984,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Ecthelion_II,,ObjectId(5cd99d4bde30eff6ebccfcb1)
Ecthelion I,,,,Human,TA 2600,TA 2698,Male,,,,,,Possibly none,,,http://lotr.wikia.com//wiki/Ecthelion_I,,ObjectId(5cd99d4bde30eff6ebccfcb2)
Edrahil,,,,Elf,,FA 465,Male,,,,,,,,,http://lotr.wikia.com//wiki/Edrahil,,ObjectId(5cd99d4bde30eff6ebccfcb3)
Egalmoth,,,,Human,TA 2626,TA 2743,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Egalmoth,,ObjectId(5cd99d4bde30eff6ebccfcb4)
Eglantine (Banks) Took,,,,Hobbit,"Late ,Third Age",Late Third Age,Female,,,,,,Paladin Took II,,,http://lotr.wikia.com//wiki/Eglantine_(Banks)_Took,,ObjectId(5cd99d4bde30eff6ebccfcb5)
Eilinel,,,,Human,"Mid ,First Age","Between ,FA 455, - ,FA 460",Female,,,,,,Gorlim,,,http://lotr.wikia.com//wiki/Eilinel,,ObjectId(5cd99d4bde30eff6ebccfcb6)
Elatan,,,,Human,"Early ,Second Age",Early Second Age,Male,,,,,,Silmariën,,,http://lotr.wikia.com//wiki/Elatan,,ObjectId(5cd99d4bde30eff6ebccfcb7)
Eldacar (King of Arnor),,,,Human,TA 87,TA 339,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Eldacar_(King_of_Arnor),,ObjectId(5cd99d4bde30eff6ebccfcb8)
Eldarion,,,,Human,FO 43,"Before ,FO 220",Male,,,Dark,,"Reunited Kingdom,Arnor,Gondor",,,,http://lotr.wikia.com//wiki/Eldarion,,ObjectId(5cd99d4bde30eff6ebccfcb9)
Eldacar (King of Gondor),,,,Human,TA 1255,TA 1490,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Eldacar_(King_of_Gondor),,ObjectId(5cd99d4bde30eff6ebccfcba)
Elemmírë (elf),,,,Elf,,Presumably still alive,,,,,,,,,,http://lotr.wikia.com//wiki/Elemm%C3%ADr%C3%AB_(elf),,ObjectId(5cd99d4bde30eff6ebccfcbb)
Elendil,,,,Human,SA 3119,SA 3441,Male,,,Brown,"7' 10""","Arnor,Gondor",Unnamed wife,,,http://lotr.wikia.com//wiki/Elendil,,ObjectId(5cd99d4bde30eff6ebccfcbc)
Elendur,,,,Human,SA 3299,TA 2,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Elendur,,ObjectId(5cd99d4bde30eff6ebccfcbd)
Elendur of Arnor,,,,Human,TA 552,TA 777,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Elendur_of_Arnor,,ObjectId(5cd99d4bde30eff6ebccfcbe)
Elboron,,,,Human,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Elboron,,ObjectId(5cd99d4bde30eff6ebccfcbf)
Eldalótë,,,,Elf,YT,,Female,,,,,,Angrod,,,http://lotr.wikia.com//wiki/Eldal%C3%B3t%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfcc0)
