name,wikiUrl,race,birth,gender,death,hair,height,realm,spouse,_id
Boromir (Steward),http://lotr.wikia.com//wiki/Boromir_(Steward),Human,TA 2410,Male,TA 2489,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc59)
Wilibald Bolger,http://lotr.wikia.com//wiki/Wilibald_Bolger,Hobbit,TA 2904,Male,TA 3000,,,,Prisca Baggins,ObjectId(5cd99d4bde30eff6ebccfc5a)
Borondir,http://lotr.wikia.com//wiki/Borondir,Human,"Late ,Third Age",Male,"April 15 ,2510",,,,,ObjectId(5cd99d4bde30eff6ebccfc5b)
Borthand,http://lotr.wikia.com//wiki/Borthand,Human,"Late ,First Age",Male,FA 473,,,,,ObjectId(5cd99d4bde30eff6ebccfc5c)
Blanco Bracegirdle,http://lotr.wikia.com//wiki/Blanco_Bracegirdle,Hobbit,TA 2865,Male,,,,,Primrose Boffin,ObjectId(5cd99d4bde30eff6ebccfc5d)
Bruno Bracegirdle,http://lotr.wikia.com//wiki/Bruno_Bracegirdle,Hobbit,TA 2913,Male,TA 3010,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc5e)
Primrose Bracegirdle,http://lotr.wikia.com//wiki/Primrose_Bracegirdle,Hobbit,TA 2865,Female,,,,,Blanco Bracegirdle,ObjectId(5cd99d4bde30eff6ebccfc5f)
Brand,http://lotr.wikia.com//wiki/Brand,Human,TA 2957,Male,"March 17 ,3019",,,"Dale,Laketown",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc60)
Brandir,http://lotr.wikia.com//wiki/Brandir,Human,First Age,,FA 499,,,,,ObjectId(5cd99d4bde30eff6ebccfc61)
Adaldrida (Bolger) Brandybuck,http://lotr.wikia.com//wiki/Adaldrida_(Bolger)_Brandybuck,Hobbit,TA 2818,Female,,,,,Marmadoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc62)
Amaranth Brandybuck,http://lotr.wikia.com//wiki/Amaranth_Brandybuck,Hobbit,TA 2904,Female,TA 2998,,,,None,ObjectId(5cd99d4bde30eff6ebccfc63)
Borlach,http://lotr.wikia.com//wiki/Borlach,Human,"Late ,First Age",Male,FA 473,,,,,ObjectId(5cd99d4bde30eff6ebccfc64)
Esmeralda Brandybuck,http://lotr.wikia.com//wiki/Esmeralda_Brandybuck,Hobbit,TA 2936,Female,,,,,Saradoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc65)
Estella (Bolger) Brandybuck,http://lotr.wikia.com//wiki/Estella_(Bolger)_Brandybuck,Hobbit,TA 2985,Female,"Before ,FO 63",Dark Blonde,,,Meriadoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc66)
Hilda Brandybuck,http://lotr.wikia.com//wiki/Hilda_Brandybuck,Hobbit,TA 2954,Female,,,,,Seredic Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc67)
Madoc Brandybuck,http://lotr.wikia.com//wiki/Madoc_Brandybuck,Hobbit,SR 1175,Male,SR 1277,,,Buckland,Hanna Goldworthy,ObjectId(5cd99d4bde30eff6ebccfc68)
Melilot Brandybuck,http://lotr.wikia.com//wiki/Melilot_Brandybuck,Hobbit,SR 1385,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfc69)
Mentha Brandybuck,http://lotr.wikia.com//wiki/Mentha_Brandybuck,Hobbit,TA 2983,Female,"Early-,Fourth Age",Dark Brown,,,,ObjectId(5cd99d4bde30eff6ebccfc6a)
Borin,http://lotr.wikia.com//wiki/Borin,Dwarf,TA 2450,Male,TA 2711,,,,,ObjectId(5cd99d4bde30eff6ebccfc6b)
Mirabella (Took) Brandybuck,http://lotr.wikia.com//wiki/Mirabella_(Took)_Brandybuck,Hobbit,TA 2860,Female,TA 2960,,,,Gorbadoc Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc6c)
Primula (Brandybuck) Baggins,http://lotr.wikia.com//wiki/Primula_(Brandybuck)_Baggins,Hobbit,TA 2920,Female,TA 2980,,,,Drogo Baggins,ObjectId(5cd99d4bde30eff6ebccfc6d)
Seredic Brandybuck,http://lotr.wikia.com//wiki/Seredic_Brandybuck,Hobbit,TA 2948,Male,,,,,Hilda Bracegirdle,ObjectId(5cd99d4bde30eff6ebccfc6e)
Brego,http://lotr.wikia.com//wiki/Brego,Human,TA 2512,Male,TA 2570,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc6f)
Bregolas,http://lotr.wikia.com//wiki/Bregolas,Human,"Late ,First Age",Male,FA 455,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc70)
Bregor,http://lotr.wikia.com//wiki/Bregor,Human,"Mid ,First Age",Male,Late First Age,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc71)
Sapphira (Brockhouse) Boffin,http://lotr.wikia.com//wiki/Sapphira_(Brockhouse)_Boffin,Hobbit,TA 2857,Female,,,,,Uffo Boffin,ObjectId(5cd99d4bde30eff6ebccfc72)
Bucca of the Marish,http://lotr.wikia.com//wiki/Bucca_of_the_Marish,Hobbit,TA 1930,Male,TA 2031,,,,,ObjectId(5cd99d4bde30eff6ebccfc73)
Asphodel (Brandybuck) Burrows,http://lotr.wikia.com//wiki/Asphodel_(Brandybuck)_Burrows,Hobbit,TA 2913,Female,TA 3012,,,,Rufus Burrows,ObjectId(5cd99d4bde30eff6ebccfc74)
Milo Burrows,http://lotr.wikia.com//wiki/Milo_Burrows,Hobbit,SR 1347,Male,,,,,Peony Baggins,ObjectId(5cd99d4bde30eff6ebccfc75)
Celandine Brandybuck,http://lotr.wikia.com//wiki/Celandine_Brandybuck,Hobbit,TA 2994,Female,,,,,None,ObjectId(5cd99d4bde30eff6ebccfc76)
Bëor,http://lotr.wikia.com//wiki/B%C3%ABor,Human,FA 262,Male,FA 355,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc77)
Bór,http://lotr.wikia.com//wiki/B%C3%B3r,Human,"Late ,First Age",Male,FA 473,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc78)
Calimehtar,http://lotr.wikia.com//wiki/Calimehtar,Human,TA 1736,Male,TA 1936,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc79)
Minto Burrows,http://lotr.wikia.com//wiki/Minto_Burrows,Hobbit,TA 2996,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc7a)
Boron,http://lotr.wikia.com//wiki/Boron,Human,First Age,Male,First Age,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc7b)
Meriadoc Brandybuck,http://lotr.wikia.com//wiki/Meriadoc_Brandybuck,Hobbit,TA 2982,Male,FO 65,Golden yellow (film),"1.38m (4'6"")",,Estella (Bolger) Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc7c)
Calmacil,http://lotr.wikia.com//wiki/Calmacil,Human,TA 1058,Male,TA 1304,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc7d)
Celeborn,http://lotr.wikia.com//wiki/Celeborn,Elf,YT,Male,"Still alive, departed over the sea in the early Fourth Age",Silver,Tall,"Eregion,Lothlórien,Caras Galadhon",Galadriel,ObjectId(5cd99d4bde30eff6ebccfc7e)
Celebrimbor,http://lotr.wikia.com//wiki/Celebrimbor,Elf,YT,Male,"SA 1697 ,War of the Elves and Sauron",Dark,,Eregion,,ObjectId(5cd99d4bde30eff6ebccfc7f)
Celebrindor,http://lotr.wikia.com//wiki/Celebrindor,Human,TA 1062,Male,TA 1272,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc80)
Celebrían,http://lotr.wikia.com//wiki/Celebr%C3%ADan,Elf,"Between the years ,SA 350, and SA 400",Female,"Still alive; Departed to ,Aman, in ,TA 2510",Possibly silver,,,Elrond,ObjectId(5cd99d4bde30eff6ebccfc81)
Celegorm,http://lotr.wikia.com//wiki/Celegorm,Elf,"During in the ,Noontide of Valinor",Male,FA 506,Fair,,,None,ObjectId(5cd99d4bde30eff6ebccfc82)
Celepharn,http://lotr.wikia.com//wiki/Celepharn,Human,TA 979,Male,TA 1191,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc83)
Cemendur,http://lotr.wikia.com//wiki/Cemendur,Human,SA 3399,Male,TA 238,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc84)
Cemendur (son of Axantur),http://lotr.wikia.com//wiki/Cemendur_(son_of_Axantur),Human,SA 575,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc85)
Ceorl,http://lotr.wikia.com//wiki/Ceorl,Human,"Late ,Third Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc86)
Caliondo,http://lotr.wikia.com//wiki/Caliondo,Human,SA 512,Male,SA 900,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc87)
Cirion,http://lotr.wikia.com//wiki/Cirion,Human,TA 2449,Male,TA 2567,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc88)
Ciryandil,http://lotr.wikia.com//wiki/Ciryandil,Human,TA 820,Male,TA 1015,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc89)
Ciryatur,http://lotr.wikia.com//wiki/Ciryatur,Human,"Mid ,Second Age",Male,"After ,SA 1700",Black,Tall,,,ObjectId(5cd99d4bde30eff6ebccfc8a)
Ciryon,http://lotr.wikia.com//wiki/Ciryon,Human,SA 3379,Male,TA 2,,,,"Unknown, possibly known",ObjectId(5cd99d4bde30eff6ebccfc8b)
Bowman Cotton,http://lotr.wikia.com//wiki/Bowman_Cotton,Hobbit,TA 2886,Male,,,,,None,ObjectId(5cd99d4bde30eff6ebccfc8c)
Lily Cotton,http://lotr.wikia.com//wiki/Lily_Cotton,Hobbit,"Late ,Third Age",Female,,,,,Farmer Cotton,ObjectId(5cd99d4bde30eff6ebccfc8d)
Marigold (Gamgee) Cotton,http://lotr.wikia.com//wiki/Marigold_(Gamgee)_Cotton,Hobbit,TA 2983,Female,,,,,Tolman Cotton,ObjectId(5cd99d4bde30eff6ebccfc8e)
Rosie Cotton,http://lotr.wikia.com//wiki/Rosie_Cotton,Hobbit,TA 2984,Female,FO 61,Light brown (film),,,Sam Gamgee,ObjectId(5cd99d4bde30eff6ebccfc8f)
Tolman Cotton,http://lotr.wikia.com//wiki/Tolman_Cotton,Hobbit,TA 2941,Male,FO 20,,,,Lily Brown,ObjectId(5cd99d4bde30eff6ebccfc90)
Castamir the Usurper,http://lotr.wikia.com//wiki/Castamir_the_Usurper,Human,TA 1259,Male,TA 1447,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc91)
Curufin,http://lotr.wikia.com//wiki/Curufin,Elf,"During the ,Noontide of Valinor",Male,FA 506,Dark,,Himlad,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc92)
Círdan,http://lotr.wikia.com//wiki/C%C3%ADrdan,Elf,"YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).",Male,"Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.","Silver, bearded",Very tall,,Presumably none,ObjectId(5cd99d4bde30eff6ebccfc93)
Dairuin,http://lotr.wikia.com//wiki/Dairuin,Human,"Late ,First Age",Male,FA 460,,,,,ObjectId(5cd99d4bde30eff6ebccfc94)
Damrod,http://lotr.wikia.com//wiki/Damrod,Human,"Late ,Third Age",Male,TA 3019,Dark,,,,ObjectId(5cd99d4bde30eff6ebccfc95)
User:Deathshriek,http://lotr.wikia.com//wiki/User:Deathshriek,Dwarf,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfc96)
Denethor (First Age),http://lotr.wikia.com//wiki/Denethor_(First_Age),Elf,YT,Male,YT 1497,,,Ossiriand,,ObjectId(5cd99d4bde30eff6ebccfc97)
Falco Chubb-Baggins,http://lotr.wikia.com//wiki/Falco_Chubb-Baggins,Hobbit,TA 2903,Male,TA 2999,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc98)
Caranthir,http://lotr.wikia.com//wiki/Caranthir,Elf,"During the ,Noontide of Valinor",Male,FA 506,Dark,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc99)
Denethor II,http://lotr.wikia.com//wiki/Denethor_II,Human,TA 2930,Male,"March 15 ,3019","Dark, grey (in old age)",,,Finduilas,ObjectId(5cd99d4bde30eff6ebccfc9a)
Diamond Took,http://lotr.wikia.com//wiki/Diamond_Took,Hobbit,TA 2995,Female,"Before ,FO 63",Brown (film),,,Peregrin Took,ObjectId(5cd99d4bde30eff6ebccfc9b)
Dinodas Brandybuck,http://lotr.wikia.com//wiki/Dinodas_Brandybuck,Hobbit,SR 1316,Male,SR 1410,,,,,ObjectId(5cd99d4bde30eff6ebccfc9c)
Dior (Steward),http://lotr.wikia.com//wiki/Dior_(Steward),Human,TA 2328,Male,TA 2435,,,,Possibly none,ObjectId(5cd99d4bde30eff6ebccfc9d)
Dodinas Brandybuck,http://lotr.wikia.com//wiki/Dodinas_Brandybuck,Hobbit,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc9e)
Dori,http://lotr.wikia.com//wiki/Dori,Dwarf,TA 2827,Male,,Gray (film),,,,ObjectId(5cd99d4bde30eff6ebccfc9f)
Dorlas,http://lotr.wikia.com//wiki/Dorlas,Human,"Late ,First Age",Males,FA 499,,,,,ObjectId(5cd99d4bde30eff6ebccfca0)
Denethor I,http://lotr.wikia.com//wiki/Denethor_I,Human,TA 2375,Male,TA 2477,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfca1)
Duinhir,http://lotr.wikia.com//wiki/Duinhir,Human,"Late-,Third Age",Male,"Early-,Fourth Age",Dark (Decipher Card),Tall,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfca2)
Durin VII,http://lotr.wikia.com//wiki/Durin_VII,Dwarf,FO 2,Male,,,,Khazad-dum,,ObjectId(5cd99d4bde30eff6ebccfca3)
Dwalin,http://lotr.wikia.com//wiki/Dwalin,Dwarf,TA 2772,Male,FO 91,Brown,,,,ObjectId(5cd99d4bde30eff6ebccfca4)
Dáin I,http://lotr.wikia.com//wiki/D%C3%A1in_I,Dwarf,TA 2440,Male,TA 2589,,,Grey Mountains,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfca5)
Dervorin,http://lotr.wikia.com//wiki/Dervorin,Human,"Late ,Third Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfca6)
Déagol,http://lotr.wikia.com//wiki/D%C3%A9agol,Hobbit,"Between TA 2400 and ,TA 2430",Male,TA 2463,Dark-brown,,,None,ObjectId(5cd99d4bde30eff6ebccfca7)
Déor,http://lotr.wikia.com//wiki/D%C3%A9or,Human,TA 2644,Male,TA 2718,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfca8)
Derufin,http://lotr.wikia.com//wiki/Derufin,Human,"Late ,Third Age",Male,"Mid ,March ,3019",,,,,ObjectId(5cd99d4bde30eff6ebccfca9)
Duilin,http://lotr.wikia.com//wiki/Duilin,Human,"Late ,Third Age",Male,TA 3019,,,,,ObjectId(5cd99d4bde30eff6ebccfcaa)
Dáin II Ironfoot,http://lotr.wikia.com//wiki/D%C3%A1in_II_Ironfoot,Dwarf,TA 2767,Male,"March 17 ,3019",,4'5 - 5' (Estimate),Lonely Mountain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcab)
Déorwine,http://lotr.wikia.com//wiki/D%C3%A9orwine,Human,"Late ,Third Age",Male,"March 15 ,3019",,,,,ObjectId(5cd99d4bde30eff6ebccfcac)
Dírhael,http://lotr.wikia.com//wiki/D%C3%ADrhael,Human,TA 2838,Male,"After ,TA 2929",Brown (film),,,Ivorwen,ObjectId(5cd99d4bde30eff6ebccfcad)
Dírhavel,http://lotr.wikia.com//wiki/D%C3%ADrhavel,Human,"Late ,First Age",Male,Late First Age,,,,,ObjectId(5cd99d4bde30eff6ebccfcae)
Dís,http://lotr.wikia.com//wiki/D%C3%ADs,Dwarf,TA 2760,Female,"After ,TA 2941",,,,,ObjectId(5cd99d4bde30eff6ebccfcaf)
Dúnhere,http://lotr.wikia.com//wiki/D%C3%BAnhere,Human,"Late ,Third Age",Male,"March 15 ,3019",,,,,ObjectId(5cd99d4bde30eff6ebccfcb0)
Ecthelion II,http://lotr.wikia.com//wiki/Ecthelion_II,Human,TA 2886,Male,TA 2984,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcb1)
Ecthelion I,http://lotr.wikia.com//wiki/Ecthelion_I,Human,TA 2600,Male,TA 2698,,,,Possibly none,ObjectId(5cd99d4bde30eff6ebccfcb2)
Edrahil,http://lotr.wikia.com//wiki/Edrahil,Elf,,Male,FA 465,,,,,ObjectId(5cd99d4bde30eff6ebccfcb3)
Egalmoth,http://lotr.wikia.com//wiki/Egalmoth,Human,TA 2626,Male,TA 2743,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcb4)
Eglantine (Banks) Took,http://lotr.wikia.com//wiki/Eglantine_(Banks)_Took,Hobbit,"Late ,Third Age",Female,Late Third Age,,,,Paladin Took II,ObjectId(5cd99d4bde30eff6ebccfcb5)
Eilinel,http://lotr.wikia.com//wiki/Eilinel,Human,"Mid ,First Age",Female,"Between ,FA 455, - ,FA 460",,,,Gorlim,ObjectId(5cd99d4bde30eff6ebccfcb6)
Elatan,http://lotr.wikia.com//wiki/Elatan,Human,"Early ,Second Age",Male,Early Second Age,,,,Silmariën,ObjectId(5cd99d4bde30eff6ebccfcb7)
Eldacar (King of Arnor),http://lotr.wikia.com//wiki/Eldacar_(King_of_Arnor),Human,TA 87,Male,TA 339,,,Arnor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcb8)
Eldarion,http://lotr.wikia.com//wiki/Eldarion,Human,FO 43,Male,"Before ,FO 220",Dark,,"Reunited Kingdom,Arnor,Gondor",,ObjectId(5cd99d4bde30eff6ebccfcb9)
Eldacar (King of Gondor),http://lotr.wikia.com//wiki/Eldacar_(King_of_Gondor),Human,TA 1255,Male,TA 1490,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcba)
Elemmírë (elf),http://lotr.wikia.com//wiki/Elemm%C3%ADr%C3%AB_(elf),Elf,,,Presumably still alive,,,,,ObjectId(5cd99d4bde30eff6ebccfcbb)
Elendil,http://lotr.wikia.com//wiki/Elendil,Human,SA 3119,Male,SA 3441,Brown,"7' 10""","Arnor,Gondor",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcbc)
Elendur,http://lotr.wikia.com//wiki/Elendur,Human,SA 3299,Male,TA 2,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcbd)
Elendur of Arnor,http://lotr.wikia.com//wiki/Elendur_of_Arnor,Human,TA 552,Male,TA 777,,,Arnor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcbe)
Elboron,http://lotr.wikia.com//wiki/Elboron,Human,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcbf)
Eldalótë,http://lotr.wikia.com//wiki/Eldal%C3%B3t%C3%AB,Elf,YT,Female,,,,,Angrod,ObjectId(5cd99d4bde30eff6ebccfcc0)
Elenwë,http://lotr.wikia.com//wiki/Elenw%C3%AB,Elf,YT,Female,YT 1500,Golden,Tall,,Turgon,ObjectId(5cd99d4bde30eff6ebccfcc1)
Elfhelm,http://lotr.wikia.com//wiki/Elfhelm,Human,TA 2985,Male,"Early ,Fourth Age",Dark,,,,ObjectId(5cd99d4bde30eff6ebccfcc2)
Elfhild,http://lotr.wikia.com//wiki/Elfhild,Human,TA 2950,Female,TA 2978,,,Rohan,Théoden,ObjectId(5cd99d4bde30eff6ebccfcc3)
Elfwine,http://lotr.wikia.com//wiki/Elfwine,Human,FO 8,Male,FO 103,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfcc4)
Elladan and Elrohir,http://lotr.wikia.com//wiki/Elladan_and_Elrohir,Elf,TA 130,Male,,Dark,Tall,,,ObjectId(5cd99d4bde30eff6ebccfcc5)
Emeldir,http://lotr.wikia.com//wiki/Emeldir,Human,FA 406,Female,,,,,Barahir,ObjectId(5cd99d4bde30eff6ebccfcc6)
Elphir,http://lotr.wikia.com//wiki/Elphir,Human,TA 2987,Male,FO 57,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcc7)
Elrond,http://lotr.wikia.com//wiki/Elrond,Elf,FA 532,Male,"Still alive; departed to ,Aman, on ,September 29 ,3021",Dark,Tall,Rivendell,Celebrían,ObjectId(5cd99d4bde30eff6ebccfcc8)
Enel,http://lotr.wikia.com//wiki/Enel,Elf,"Unknown, Awakened in the Years of the Trees",Male,,,,,Enelyë,ObjectId(5cd99d4bde30eff6ebccfcc9)
Enelyë,http://lotr.wikia.com//wiki/Enely%C3%AB,Elf,"Unknown, Awakened in the ,Years of the Trees",Female,,,,,Enel,ObjectId(5cd99d4bde30eff6ebccfcca)
Enerdhil,http://lotr.wikia.com//wiki/Enerdhil,Elf,"Unknown, possibly in the ,First Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfccb)
Erchirion,http://lotr.wikia.com//wiki/Erchirion,Human,TA 2990,Male,"Early ,Fourth Age",,,,,ObjectId(5cd99d4bde30eff6ebccfccd)
Erellont,http://lotr.wikia.com//wiki/Erellont,Elf,unknown,Male,unknown,,,,unknown,ObjectId(5cd99d4bde30eff6ebccfcce)
Erendis,http://lotr.wikia.com//wiki/Erendis,Human,SA 771,Female,SA 985,Dark,,Númenor,Tar-Aldarion,ObjectId(5cd99d4bde30eff6ebccfccf)
Erestor,http://lotr.wikia.com//wiki/Erestor,Elf,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfcd0)
Eorl the Young,http://lotr.wikia.com//wiki/Eorl_the_Young,Human,TA 2485,Male,TA 2545,Blond,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd2)
Erkenbrand,http://lotr.wikia.com//wiki/Erkenbrand,Human,"Late ,Third Age",Male,"early ,Fourth Age",,Tall,,,ObjectId(5cd99d4bde30eff6ebccfcd3)
Estelmo,http://lotr.wikia.com//wiki/Estelmo,Human,"Late ,Second Age",Male,"Early ,Third Age",,,,,ObjectId(5cd99d4bde30eff6ebccfcd4)
Eradan,http://lotr.wikia.com//wiki/Eradan,Human,TA 1999,Male,TA 2116,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd5)
Eärendur of Númenor,http://lotr.wikia.com//wiki/E%C3%A4rendur_of_N%C3%BAmenor,Human,SA 361,Male,"Early ,Second Age",,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd6)
Eärnil I,http://lotr.wikia.com//wiki/E%C3%A4rnil_I,Human,TA 736,Male,TA 936,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd7)
Eärnil II,http://lotr.wikia.com//wiki/E%C3%A4rnil_II,Human,TA 1883,Male,TA 2043,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcd8)
Eärnur,http://lotr.wikia.com//wiki/E%C3%A4rnur,Human,TA 1928,Male,TA 2050,,,Gondor,None,ObjectId(5cd99d4bde30eff6ebccfcd9)
Eärwen,http://lotr.wikia.com//wiki/E%C3%A4rwen,Elf,Years of the Trees,Female,Still alive,Star-like,,,Finarfin,ObjectId(5cd99d4bde30eff6ebccfcda)
Eärendur (Lord of Andúnië),http://lotr.wikia.com//wiki/E%C3%A4rendur_(Lord_of_And%C3%BAni%C3%AB),Human,"Late ,Second Age",Male,Late Second Age,,,,,ObjectId(5cd99d4bde30eff6ebccfcdb)
Eöl,http://lotr.wikia.com//wiki/E%C3%B6l,Elf,YT,Male,FA 400,Dark,Tall,Nan Elmoth,Aredhel,ObjectId(5cd99d4bde30eff6ebccfcdc)
Eärendil of Gondor,http://lotr.wikia.com//wiki/E%C3%A4rendil_of_Gondor,Human,TA 48,Male,TA 324,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcdd)
Eärendur of Arnor,http://lotr.wikia.com//wiki/E%C3%A4rendur_of_Arnor,Human,TA 640,Male,TA 861,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcde)
Faramir (son of Ondoher),http://lotr.wikia.com//wiki/Faramir_(son_of_Ondoher),Human,"Mid ,Third Age",Male,TA 1944,,,,,ObjectId(5cd99d4bde30eff6ebccfcdf)
Fastred,http://lotr.wikia.com//wiki/Fastred,Human,TA 2858,Male,TA 2885,,,,,ObjectId(5cd99d4bde30eff6ebccfce0)
Fastred (Pelennor Fields),http://lotr.wikia.com//wiki/Fastred_(Pelennor_Fields),Human,"Late ,Third Age",Male,"March 15 ,3019",,,,,ObjectId(5cd99d4bde30eff6ebccfce1)
Fengel,http://lotr.wikia.com//wiki/Fengel,Human,TA 2870,Male,TA 2953,,,Rohan,,ObjectId(5cd99d4bde30eff6ebccfce2)
Ferumbras Took II,http://lotr.wikia.com//wiki/Ferumbras_Took_II,Hobbit,TA 2701,Male,TA 2801,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfce3)
Finarfin,http://lotr.wikia.com//wiki/Finarfin,Elf,YT 1230,Male,Still Alive,Golden,,Tirion,Eärwen,ObjectId(5cd99d4bde30eff6ebccfce4)
Findegil,http://lotr.wikia.com//wiki/Findegil,Human,Fourth Age,Male,"sometime after ,FO 172",,,,,ObjectId(5cd99d4bde30eff6ebccfce5)
Findis,http://lotr.wikia.com//wiki/Findis,Elf,Years of the Trees,Female,,,,,,ObjectId(5cd99d4bde30eff6ebccfce6)
Finduilas,http://lotr.wikia.com//wiki/Finduilas,Elf,First Age,Female,FA 495,Golden,,,"None; betrothed to ,Gwindor, but never married.",ObjectId(5cd99d4bde30eff6ebccfce7)
Finduilas of Dol Amroth,http://lotr.wikia.com//wiki/Finduilas_of_Dol_Amroth,Human,TA 2950,Female,TA 2988,Dark,,,Denethor II,ObjectId(5cd99d4bde30eff6ebccfce8)
Fingolfin,http://lotr.wikia.com//wiki/Fingolfin,Elf,YT 1190,Male,FA 455,Dark,,"Hithlum,Beleriand",Anairë,ObjectId(5cd99d4bde30eff6ebccfce9)
Farin,http://lotr.wikia.com//wiki/Farin,Dwarf,TA 2560,Male,TA 2803,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcea)
Fingon,http://lotr.wikia.com//wiki/Fingon,Elf,"YT during the ,Noontide of Valinor",Male,FA 472,Dark,,Hithlum,,ObjectId(5cd99d4bde30eff6ebccfceb)
Finrod,http://lotr.wikia.com//wiki/Finrod,Elf,YT 1300,Male,FA 465,Golden,,,"Loved ,Amarië but they never married",ObjectId(5cd99d4bde30eff6ebccfcec)
Finwë,http://lotr.wikia.com//wiki/Finw%C3%AB,Elf,"YT, and perhaps Firstborn",Male,YT 1495,Black,,"Tirion,Formenos","Míriel Serindë then ,Indis",ObjectId(5cd99d4bde30eff6ebccfced)
Flói,http://lotr.wikia.com//wiki/Fl%C3%B3i,Dwarf,"Late ,Third Age",Male,TA 2994,,,,,ObjectId(5cd99d4bde30eff6ebccfcee)
Faramir,http://lotr.wikia.com//wiki/Faramir,Human,TA 2983,Male,"February 26 ,82",Raven,,Minas Ithil,owyn,ObjectId(5cd99d4bde30eff6ebccfcef)
Folca,http://lotr.wikia.com//wiki/Folca,Human,TA 2804,Male,TA 2864,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfcf0)
Fastolph Bolger,http://lotr.wikia.com//wiki/Fastolph_Bolger,Hobbit,SR 1210,Male,,,,Shire,Pansy Baggins,ObjectId(5cd99d4bde30eff6ebccfcf1)
Folcred,http://lotr.wikia.com//wiki/Folcred,Human,TA 2858,Male,TA 2885,,,,,ObjectId(5cd99d4bde30eff6ebccfcf2)
